Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	61735	718663	37	0.0978
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	723317	850687	38	0.4977
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	874902	1506098	150	0.0043
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	1510801	1672603	18	0.6308
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	1687587	16149003	8160	0.0144
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	16149067	16176764	21	0.4327
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	16181392	22319001	3806	0.0141
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	22320515	22338125	8	-1.3983
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	22342389	25583341	1912	0.0233
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	25593128	25673154	34	0.4651
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	25678084	56495121	17147	0.0135
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	56495368	56496645	3	-1.9344
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	56499451	72773429	11692	0.0095
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	72775134	72796892	18	-0.7367
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	72797026	105831528	20936	0.0165
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	105832861	105838295	5	-1.0215
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	105839996	106013376	102	0.0409
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	106019205	106022375	17	-1.7159
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	106024055	106590173	357	0.0226
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	106595823	106596824	2	-1.3412
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	106598527	112690211	4284	0.0132
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	112690248	112697213	24	-0.4454
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	112697241	113451050	487	0.0391
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	113452613	113564644	74	-0.8607
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	113567547	116192059	1623	0.0181
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	116192759	116192829	2	-1.2878
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	116195211	152555706	5855	0.0253
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	152555767	152586594	34	-1.5602
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	152590494	152759678	169	-0.0279
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	152761923	152768700	37	0.5527
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	152773905	169216937	11336	0.0163
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	169233974	169238745	6	0.7867
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	169241766	179621932	6801	0.014
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	179622081	179628548	10	-0.8618
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	179634016	191723760	8002	0.0141
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	191724304	191726158	4	-2.6336
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	1	191727949	249224388	39411	0.0164
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	2	12784	34691069	24087	0.0159
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	2	34699315	34740757	51	0.4576
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	2	34740799	40732906	4417	0.014
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E09_734690	2	40732937	40732951	2	-1.6802
