Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	61735	85998	13	-0.6017
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	86324	86341	2	-3.0299
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	98588	17109281	8809	8e-04
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	17111296	17262232	71	-0.3698
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	17262247	25583341	5273	0.0063
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	25593128	25662212	31	-1.255
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	25663310	72768498	28863	0.0075
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	72768916	72811148	46	0.5537
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	72811904	106019205	21049	0.0034
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	106019236	106022375	16	-1.5577
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	106024055	110224384	2657	0.0082
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	110224427	110242953	32	-0.4381
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	110244998	152555176	10025	0.0094
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	152555527	152586594	36	0.935
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	152590494	152759678	170	-0.0113
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B10_755918	1	152761923	152778817	44	0.3179
