Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	61735	3049713	672	-0.0201
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	3050594	3054106	2	-2.6237
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	3054268	72746581	42118	-0.0111
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	72749848	72811148	59	0.7311
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	72811904	109494147	23298	-0.006
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	109496854	109498145	15	-0.7906
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	109503656	111376220	1198	-0.0203
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	111377368	111379820	20	-0.647
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	111380020	111383972	17	-1.7908
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	111388184	144564584	6308	-0.0017
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	144579091	144868360	8	1.1957
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	144869084	152759678	2986	-0.0182
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	152761923	152768700	37	0.5577
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	152773905	155656969	1546	0.0038
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	155661227	155663357	3	-3.5214
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	155666961	196732086	27901	4e-04
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	196738623	196812507	90	-0.3649
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	196812530	196815791	2	-3.1556
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	196816730	248713991	35608	-0.0094
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	248725234	248797213	35	-0.7092
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	1	248808557	249224388	143	0.0305
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	2	12784	52743925	37019	-0.0078
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	2	52754468	52781542	40	-0.6671
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	2	52787949	91704736	22990	-0.008
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	2	91727980	91778641	11	-1.3264
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	2	91778769	91882894	37	-0.5053
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	2	91890841	98118128	970	-0.0226
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	2	98118212	98161710	9	-1.2677
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	2	98162189	110983681	7757	-0.0161
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_F03_1151426	2	111037146	111052343	8	-2.5173
