Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	61735	4976488	1940	-0.0036
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	4982802	7331327	1555	-0.5805
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	7331347	7571598	177	0.0307
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	7571809	7666987	77	-0.6217
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	7678253	7684167	7	-0.0186
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	7684188	7712330	18	-0.6765
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	7717962	11823646	2183	-0.0306
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	11828319	11862778	22	-0.6708
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	11869896	12892508	556	-0.0127
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	12909977	12983506	9	0.8364
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	13159083	14777443	841	-0.0077
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	14778406	16851514	1306	-0.5708
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	16869363	17005978	46	-0.0935
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	17011450	17045458	30	0.3185
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	17045577	17209603	33	-0.0589
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	17210652	17282425	61	0.3518
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	17283075	18032158	499	-0.0243
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	18041527	22110319	2729	-0.5738
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	22114694	22319001	106	-0.0449
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	22320515	22338125	8	-5.0475
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	22342389	25545597	1894	-0.0233
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	25549737	25582843	14	-0.5598
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	25583291	25662212	33	-0.1346
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	25663310	28084735	1015	-0.5965
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	28090960	58845559	18094	-0.0111
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	58845645	60927512	1462	-0.5721
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	60929853	68816800	5832	-0.0248
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	68825232	70575643	1019	-0.5621
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	70580058	72768916	1410	0.0282
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	72768936	72811148	45	-1.3096
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	72811904	81888456	5783	-0.0122
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	81888602	81888605	2	1.5384
MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_G03_955264	1	81888667	106013376	15238	-0.0115
