Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	61735	12983506	6539	-0.1288
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	13159083	13187370	6	-1.4217
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	13214448	15002813	1021	-0.0658
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	15006363	15398240	319	-0.9585
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	15399946	17190862	899	-0.1029
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	17195155	17284920	66	-0.6632
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	17286210	55495744	21598	-0.1169
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	55495869	55495995	2	-2.8162
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	55496039	72768498	12476	-0.0948
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	72768916	72802504	31	-1.1416
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	72804578	72805497	4	0.2554
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	72805808	72811148	11	-0.8911
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	72811904	85979932	8617	-0.0994
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	85980350	86003166	11	0.5659
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	86006009	93640820	4846	-0.1095
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	93642428	93651500	3	-1.9721
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	93651547	104103230	6566	-0.0926
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	104109238	104159384	27	0.6721
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	104163499	106013376	946	-0.085
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	106019205	106022375	17	0.7165
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	106024055	107640388	1075	-0.1121
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	107640834	107645245	2	-2.6051
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	107645761	110224384	1574	-0.1177
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	110224427	110246281	38	0.7399
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	110250235	110586616	220	-0.1703
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	110586667	110590816	4	-1.7331
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	110595045	120589553	6805	-0.1084
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	120592874	121155528	38	0.3055
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	121168848	144008335	82	-0.015
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	144008375	147929336	1135	0.9363
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	148513790	148870937	41	0.585
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	148893345	149242663	126	0.9833
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	149242725	149246030	9	1.6755
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_G01_1513150	1	149246275	149291599	20	1.0198
