Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	61735	235938	27	-0.1518
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	356443	356542	2	1.5421
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	404171	1510801	197	-0.1376
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	1627918	1687650	19	0.4607
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	1687687	12892508	6303	-0.1754
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	12909977	12927107	7	0.6717
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	12927856	16149915	1849	-0.1651
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	16153497	16153925	6	0.8581
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	16154201	16963269	329	-0.1787
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	16963313	16970456	17	-0.6281
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	17005734	60069296	25424	-0.0339
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	60069447	61248310	737	0.611
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	61253990	61256766	6	1.7819
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	61258378	61303247	43	1.4192
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	61304705	61468475	159	1.8381
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	61472174	62113102	480	0.5735
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	62114006	62118187	4	-0.5876
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	62119809	62227663	76	0.5472
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	62230494	62651786	344	0.8629
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	62656184	62656510	2	-0.5792
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	62661792	62982891	212	0.9834
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	62983076	63068167	41	0.6352
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	63068299	63161241	43	1.1044
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	63162919	64433543	881	-0.1464
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	64442305	64453107	10	-1.0866
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	64454304	72763370	5757	-0.0797
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	72768418	72811904	49	-0.5223
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	72812440	106493324	21308	0.1367
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	106496419	112690326	4336	-0.1462
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	112695965	112697390	25	0.4094
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	112705956	120527361	5053	-0.1046
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	120527395	121129349	48	0.3146
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	121130963	144007049	82	-0.0128
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	144008315	144897697	98	0.5816
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	144901750	144902235	7	1.2797
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	144902911	151240542	1936	0.8429
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	151243227	152555527	813	0.3188
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	152555706	152586576	34	-0.3125
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	152586594	152762667	184	0.3199
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	152762762	152767923	16	0.7673
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	152767947	204309134	34483	0.3311
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	204309236	204309638	2	-1.6314
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_G02_735364	1	204311593	210071062	3933	0.2499
