Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	61735	86341	15	-1.056
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	98588	16830583	8714	0.0047
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	16830820	17016177	65	0.2576
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	17016259	17048479	21	-0.5822
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	17056457	30731698	7785	0.0104
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	30732380	30739796	10	-0.5852
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	30741496	35091674	2563	0.0169
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	35102654	35104491	20	-0.4955
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	35114268	72768498	23878	0.0061
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	72768916	72811148	46	0.5479
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	72811904	76050844	1933	0.008
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	76054763	76054854	2	-2.6019
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	76059509	108729759	21072	0.0162
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	108734235	108737496	3	-1.0107
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	108739104	110227515	724	0.0184
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	110232974	110234410	9	1.6812
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	110234555	110242953	9	0.6216
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	110244998	111376081	839	0.025
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	111376220	111388226	40	-0.6137
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	111392067	148870937	7473	0.0067
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D09_628436	1	148893345	149243072	126	-0.6577
