Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	61735	16344827	8505	0.001
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	16345255	16389566	9	-0.9338
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	16390402	17005978	252	0.0698
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	17011450	17262232	120	0.5174
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	17262247	21622169	2940	0.0204
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	21624787	21640124	11	-0.6289
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	21640395	25583341	2322	0.0201
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	25593128	25611452	14	0.6511
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	25616296	25688276	33	0.0104
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	25696602	25723250	12	0.524
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	25734252	37882959	6441	0.0074
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	37884025	37932288	27	-0.322
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	37933246	51846464	7728	0.0138
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	51849397	51850536	2	1.3726
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	51857480	60867839	6318	0.0246
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	60867941	60868537	2	-1.6171
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	60868614	72763370	8300	0.0109
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	72768418	72811133	47	-1.2298
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	72811148	104239689	20110	0.0105
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	104239986	104303639	15	0.957
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	104307243	110224384	3588	0.0065
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	110224427	110242953	32	1.4763
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	110244998	112690326	1954	0.0134
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	112695965	112705956	26	-0.4859
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	112706060	145235251	5440	0.0173
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	145235261	145280322	11	0.6154
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	145287545	152763040	2814	0.0261
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	152763069	152767947	11	0.5575
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	152767963	189648157	24819	0.0113
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	189648483	189648527	2	-2.1625
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	189652047	194448234	3288	0.0095
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	194451411	194455018	2	1.6658
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	194457016	196738768	1462	0.0122
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	196738782	196801655	80	0.3043
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	196801784	210071062	8825	0.0136
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	210081613	210082065	2	-1.4865
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	210083984	220945290	7563	0.0098
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	220945389	220951135	4	-1.7473
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	220953310	222366668	1050	0.0102
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	222374834	222377004	2	-3.8011
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	222382134	223020504	338	0.0178
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	223022923	223023604	2	-2.9802
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	223023769	248467092	17882	0.0092
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	248467301	248467565	2	-1.6738
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	248468705	248749194	114	0.0206
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	248749219	248795289	29	-0.8845
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	1	248795852	249224388	148	0.0247
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	12784	4205687	2991	-0.0046
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	4213864	4223512	37	-0.584
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	4223567	34716770	21102	0.0119
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	34716936	34727785	25	-0.6039
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	34727851	37730154	2267	0.0052
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	37730983	37732029	2	-1.3665
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	37735241	37986276	198	-0.0342
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	37987124	37994076	5	-1.1579
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	37994488	76929056	26249	0.0173
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	76936031	76949315	15	-0.9868
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	76949564	98154265	8447	0.0184
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	98157272	98161710	3	-1.1986
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	98162189	126020878	16846	0.013
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	126022870	126028034	7	-0.8613
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	126028466	129638078	2191	0.0024
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	129638478	129640315	15	-2.785
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	129640329	180061655	30803	0.0183
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	180067192	180076663	2	-1.8865
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	2	180079144	243089456	38857	0.0159
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	60345	6646543	5840	0.013
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	6651128	6653332	23	-0.6755
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	6655078	65185849	39521	0.0188
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	65188453	65210452	54	-0.7533
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	65216349	68732028	2421	0.0213
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	68746164	68747413	15	-0.592
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	68748758	82864549	9067	0.0202
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	82872779	82881045	7	-0.856
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	82882777	98937784	6879	0.0183
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	98944458	98949314	37	0.4039
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	98949421	162513092	39087	0.0167
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	162513149	162625995	67	-1.7894
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	162626572	190345518	17451	0.0226
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	190346218	190346525	2	-1.5696
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	190349480	190955861	381	0.0367
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	190956807	190961658	7	-1.0308
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	190967779	192874747	1355	0.0157
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	192877902	192882903	20	-1.2604
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	3	192886435	197896118	2704	0.0206
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	12281	9451923	5250	0.0121
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	9456977	9479345	10	-0.627
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	9486087	10210390	546	0.0033
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	10223416	10235268	35	-0.8712
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	10236142	69372003	36542	0.0164
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	69374941	69489335	66	-1.7427
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	69505115	115173628	27745	0.0203
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	115173656	115182175	25	0.5196
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	115184229	130062751	8739	0.0178
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	130067546	130068160	2	-2.9046
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	130072563	130195588	78	0.0256
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	130197796	130199728	4	-0.934
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	130204663	155802548	15301	0.0179
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	155803005	155803078	3	1.0938
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	155803199	157301739	1073	0.0162
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	157305377	157305922	13	-0.5051
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	157308041	161874000	2833	0.017
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	161880018	161884908	21	-0.581
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	161884919	172369346	6680	0.0199
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	172374884	172377444	8	1.2793
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	172377458	172987928	400	0.0158
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	172989148	172989505	10	0.8679
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	172989519	173422522	233	0.0234
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532	4	173424947	173428643	7	1.2469
