Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	61735	12867837	6553	0.0159
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	12867851	12927107	17	0.7131
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	12927856	13375345	10	0.1386
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	13375401	13376042	5	-0.9337
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	13376489	17011669	2197	0.0022
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	17011778	17276241	118	0.284
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	17277940	25583341	5270	0.0056
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	25593128	25646689	25	-1.6625
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	25646744	25662212	6	-0.7085
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	25663310	35091458	4965	0.0046
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	35091594	35104491	23	-0.5751
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	35114268	72763370	23871	0.0224
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	72768418	72811148	48	-1.3937
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	72811904	111377368	24583	0.023
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	111377565	111378895	5	-1.8965
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	111379065	111379331	7	-4.0046
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	111379339	111388226	26	-2.1517
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	111392067	121482979	6292	0.056
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498	1	144007049	144045302	28	-0.2149
