Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	61735	62152	4	0.3463
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	62920	86341	11	1.0677
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	98588	17114712	8792	-0.0356
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	17177045	17276241	67	0.4057
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	17277940	25326549	5063	-0.0329
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	25326773	25327406	2	-3.0099
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	25329752	25583341	193	-0.0375
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	25593128	25646689	25	0.6632
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	25646744	72756113	28753	-0.0032
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	72756142	72810938	53	0.299
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	72811076	106013376	20947	0.0281
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	106019205	106024090	20	0.5212
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	106024137	110246130	2673	0.027
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	110246273	110246281	3	-1.1982
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	110250235	112697198	1967	0.0206
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	112697213	112697390	4	1.0901
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	112705956	152555527	8001	0.0211
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	152555706	152586238	31	1.1984
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	152586278	191825854	26352	0.0135
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	191829069	191867711	13	-0.8229
SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_B11_1244658	1	191871216	193155792	867	0.0399
