Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	61735	16820619	8702	0.0124
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	16828502	17262247	173	-0.2873
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	17276241	25583291	5257	0.0076
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	25583341	25628465	20	0.8033
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	25628631	30741496	2413	0.0075
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	30741656	30745210	3	2.0728
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	30747576	65897951	21823	0.0051
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	65898001	65906265	3	2.5443
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	65906762	65925349	10	-0.4106
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	65925847	65931904	3	1.8358
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	65934386	70916222	3331	-0.0042
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	70917006	70919676	6	-1.4192
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	70920737	72763370	1208	-0.0281
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	72768418	72811904	49	1.4141
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	72812440	106013376	21021	-0.003
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	106019205	106022375	17	0.8214
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	106024055	110233037	2671	0.0054
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	110233053	110234410	7	1.4701
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	110234555	110250236	17	-0.0855
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	110250572	110250590	3	1.5752
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	110251142	112697174	1958	3e-04
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	112697188	112705956	7	1.1713
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	112706060	146695215	5775	-0.0176
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	146696061	146696075	2	2.6838
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	146698906	152555527	2249	-0.0029
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	152555706	152586238	31	1.3703
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	152586278	152754630	168	0.0019
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	152756308	152778443	47	0.7465
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	152778526	169216937	11321	0.0012
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	169233974	169241766	7	-1.8343
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	169242401	193155792	15792	0.0085
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	193156279	193156348	4	2.1287
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	193159723	195832664	1821	-0.018
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	195836268	195837030	4	1.6399
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	195837330	196758120	612	0.0125
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	196758149	196758159	2	3.14
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	196759274	202566430	3751	0.0231
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	202566780	202567553	3	0.8483
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	202567713	202567786	2	3.5712
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	202568542	215496139	8851	0.01
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	215496425	215499104	3	-2.2598
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	215501031	241205433	18053	0.006
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	241205611	241205674	2	2.4183
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	241208996	242153433	762	-0.0021
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	242158337	242158852	2	2.5938
KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_B02_1151576	1	242165458	243306924	798	0.0021
