Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	61735	10670891	5386	0.0421
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	10671420	10679721	3	-1.8356
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	10681806	12892508	1162	0.0321
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	12909977	13384258	27	-0.3251
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	13384264	15489657	1406	0.0502
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	15489682	15489931	4	-0.774
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	15490028	16149915	422	0.0354
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	16153497	16153925	6	0.6061
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	16154201	17016259	363	0.0539
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	17016872	17048479	20	-0.4898
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	17056457	17276241	87	0.3712
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	17277940	25583341	5268	0.0389
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	25593128	25662212	31	0.5371
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	25663310	30738355	2397	0.0164
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	30738432	30745210	10	-0.574
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	30747576	55090200	13618	0.0328
CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_D06_871124	1	55093291	55094389	2	-2.511
