Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	61735	404171	30	0.1574
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	534551	6987726	3245	-0.4322
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	6990271	7505841	354	-1.519
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	7511119	8913636	832	-0.4294
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	8913678	8919694	7	-1.7208
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	8925112	12892508	2089	-0.4342
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	12909977	12927107	7	-1.9796
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	12927856	16149343	1852	-0.4409
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	16149915	16155010	11	0.2249
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	16165661	17005978	346	-0.4247
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	17011450	17017078	18	0.137
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	17017530	17190004	41	-0.5514
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	17190862	17276241	63	-0.084
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	17277940	25583341	5274	-0.4232
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	25593128	25645658	23	-2.0273
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	25646184	25662212	8	-0.9948
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	25663310	30737373	2397	-0.4286
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	30738355	30739796	7	-1.9889
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	30741496	33626604	1500	-0.4142
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	33630273	34842836	903	0.1421
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F04_667068	1	34844836	55305457	11411	0.3892
