Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	61735	98602	17	0.2161
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	228706	728608	22	-0.6378
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	740857	9589413	4793	-0.0025
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	9596481	9596865	2	-2.572
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	9602373	16806925	3847	0.0034
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	16807224	17224970	132	-0.4488
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	17225225	35091594	10282	0.0063
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	35091638	35104491	22	-0.7396
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	35114268	72763370	23827	0.0054
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	72768418	72811148	48	1.1155
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	72811904	77167584	2790	0.0137
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	77168568	77191549	22	0.551
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	77193659	92177938	9900	0.013
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	92179448	92187893	6	1.0086
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	92188234	104102788	7296	0.0042
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	104103057	104225557	42	0.7111
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	104225568	116490015	8047	0.007
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	116490817	116491321	4	-1.2771
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	116495222	144008315	2736	-0.0012
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	144008335	144081043	39	-0.4067
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	144471986	144564584	11	0.1283
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170	1	144579091	144849552	6	1.1308
