Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	61735	10097387	5054	0.0227
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	10099905	10103011	3	-1.0357
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	10106775	16953842	3696	0.0188
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	16954295	17005978	22	-0.332
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	17011450	17012456	11	0.6736
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	17012741	17182437	47	0.1454
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	17190004	17262232	62	0.4589
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	17262247	27980011	6271	0.0243
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	27981437	27981827	2	-1.634
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	27981867	104159384	48034	0.0173
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	104163499	104303403	28	-0.4389
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	104303501	106019205	920	0.0095
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	106019236	106022375	16	0.6389
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	106024055	110224384	2656	0.0114
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	110224427	110242953	32	0.432
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	110244998	112690326	1956	0.0105
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	112695965	112697390	25	-1.4565
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	112705956	149024808	6378	0.021
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	149036524	149152402	63	0.7862
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	149157445	149415966	95	0.4674
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	149421517	149436842	6	0.881
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	149521840	149677141	16	-0.1252
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	149691264	149758024	17	0.4609
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	149758041	152555706	1466	0.0146
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	152555767	152586238	30	1.3582
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	152586278	174796556	15089	0.0152
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G11_729738	1	174796699	174801854	16	-0.5429
