Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	61735	229075	20	0.4659
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	229158	1642103	209	0.0735
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	1647330	1687587	14	0.9403
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	1687650	13375345	6334	0.0087
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	13375401	13376042	5	-0.5483
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	13376489	13688196	29	0.3449
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	13688680	16149915	1808	0.0012
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	16153497	16153925	6	-1.2123
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	16154201	16886135	307	-0.0156
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	16886193	16970456	40	0.2857
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	17005734	17012785	16	-0.1442
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	17016177	17017078	5	0.424
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	17017530	17048479	17	-0.6558
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	17056457	17195155	26	0.1492
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	17203497	17261248	54	-0.3815
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	17261263	63469503	27720	3e-04
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	63471492	63472103	3	-1.0126
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	63472868	65897869	1854	0.0072
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	65897951	65906265	4	0.7655
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	65906762	104159384	24723	0.0119
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E01_666966	1	104163499	104261206	26	0.5619
