Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	61735	799463	63	-0.169
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	799731	16149343	8342	0.158
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	16149915	16153925	7	0.826
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	16154201	16337252	85	0.1437
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	16344664	16379416	10	0.5678
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	16389566	16830820	204	0.1176
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	16831863	17082591	89	-0.2167
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	17087292	17112177	13	0.2893
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	17114427	17262247	69	-0.3686
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	17276241	25593128	5265	0.1448
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	25595881	25662005	29	0.5509
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	25662212	72768916	28822	0.141
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	72768936	72811148	45	-0.9975
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	72811904	85979932	8604	0.1465
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	85980350	86002735	10	0.6678
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	86003166	106012754	12373	0.1381
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	106013376	106022375	18	-1.1806
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	106024055	110227500	2662	0.1414
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	110227515	110240178	18	-1.0185
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	110242953	144842558	7213	0.1385
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	144849539	144849552	3	1.9767
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	144865627	145372563	217	0.3872
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	145382124	147829226	853	0.745
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	147831183	148572094	15	0.3132
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	148575315	148636769	8	-0.3844
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	148636891	149024808	36	0.3118
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	149036524	149208579	103	0.6824
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	149208896	149732625	90	0.3973
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	149732729	152555176	1460	0.6677
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	152555527	152586540	34	1.5981
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	152586576	153336611	664	0.7169
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	153337057	153358685	13	1.2748
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	153358824	158514211	2820	0.684
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	158514226	158515023	10	0.1006
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	158515085	161523982	1982	0.6826
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	161601933	161650375	45	0.9878
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	161650494	180748317	13489	0.6968
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	180750573	180753483	4	-0.3553
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	180755661	196727850	10660	0.7043
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	196731035	196801784	87	0.9272
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	196801805	222366668	17413	0.7014
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	222374834	222377004	2	-2.2577
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	222382134	243056401	14653	0.7064
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	243058579	243059774	20	0.1689
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	1	243062601	249224388	3807	0.7109
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	12784	52754468	37141	-0.1345
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	52754480	52781542	39	0.4371
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	52787949	54583417	1345	-0.1245
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	54583542	54583590	2	-1.7483
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	54583756	87513287	20737	-0.1339
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	87514379	87520356	3	-1.2185
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	87521205	97854159	1917	-0.1618
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	97857927	97876273	13	-0.8326
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	97876806	98118212	27	-0.1471
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	98140747	98161710	8	0.6826
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	98162189	146864429	29487	-0.133
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	146864443	146866934	22	0.4583
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	146877806	180418211	20473	-0.1353
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	180418333	180430069	33	-0.5172
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	180430331	213369618	19603	-0.1342
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	213370362	213370702	2	-2.1951
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	2	213372988	243089456	18902	-0.133
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	60345	224602	155	0.171
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	230022	232800	4	-2.4466
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	234877	59289140	39750	0.1437
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	59290237	59290238	2	-1.3883
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	59290258	59638487	313	0.1344
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	59639362	59639865	2	-1.453
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	59639967	75674613	12529	0.1522
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	75677435	75806378	43	-0.1388
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	75819252	98937784	10927	0.1499
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	98944458	98949038	26	0.455
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	98949056	112099647	7952	0.1418
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	112103521	112113334	27	-0.5936
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	112114816	162137982	30791	0.1436
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	162137999	162142576	5	0.8546
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	162142593	162524858	274	0.1649
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	162528630	162540490	10	-0.9301
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	162545716	162714517	120	0.1316
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	162717727	162719562	2	-2.0388
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	3	162726159	197896118	21799	0.1464
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	12281	75023	69	-0.4064
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	75174	3469654	1389	-0.0869
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	3472162	3472322	2	-1.6061
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	3472366	3984544	204	-0.0832
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	3984808	4093564	35	-0.4348
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	4095449	10208778	4090	-0.1209
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	10208794	10228817	18	-0.603
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	10228880	10231498	22	-1.7168
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	10234214	34765595	16953	-0.1261
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	34765697	34829949	53	0.2353
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	34830004	64693940	16539	-0.1357
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	64697469	64718043	32	0.1856
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	64722216	69372003	2873	-0.1352
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	69374941	69582483	76	0.2579
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	69591612	70120322	311	-0.1153
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	70120699	70231799	59	-0.42
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	70232022	108065751	22868	-0.1366
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	108065761	108071888	21	0.29
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	108073507	115173656	4420	-0.1363
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	115173700	115182175	24	-0.7289
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	115184229	137383176	12754	-0.1257
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	137386313	138980789	1132	-0.488
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	138990667	152791637	8221	-0.1307
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	152791654	152792567	10	-0.7954
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	152792891	152795388	5	0.5512
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	152795773	155802548	1944	-0.1417
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	155803005	155803078	3	-2.4857
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	155803199	161880141	3914	-0.1254
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	161880197	161884600	17	-0.8866
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	161884908	179391442	10953	-0.1311
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	179392345	179396006	4	-1.2191
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	179396181	190326382	7902	-0.1392
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	190326474	190333574	5	-1.1034
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	190333580	190958143	296	-0.2016
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	4	190967249	191027923	6	-0.9436
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	15532	833628	365	-0.1037
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	852566	863797	2	-1.6185
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	866370	57321646	35450	-0.1364
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	57326027	57333533	32	1.4784
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	57338357	121129499	38649	-0.1391
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	121132937	121132958	2	-1.537
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	121135476	148287096	16656	-0.1405
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	148287163	148287177	2	-1.5748
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	148291418	150202205	1278	-0.1522
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	150205500	150218604	8	-1.0187
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	150223387	151514171	960	-0.1524
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	151515386	151516788	9	-0.9723
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	151518063	177198449	17469	-0.1416
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	177227551	177232605	3	1.579
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	5	177254965	180790320	2002	-0.144
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	149661	254283	101	-0.1914
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	257353	380821	100	0.2607
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	381149	1997212	1394	-0.1736
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	1999276	2065010	44	0.3256
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	2071133	2161192	56	-0.1963
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	2162749	2163474	2	-2.5566
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	2164325	22000302	15130	-0.1711
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	22000322	22000338	2	-1.6545
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	22003895	26737032	3416	-0.1643
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	26737438	26752572	11	0.4143
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	26754381	29079281	1044	-0.171
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	29084087	29098369	3	-1.7238
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	29106468	29837072	400	-0.2147
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	29837187	29849267	16	-1.1495
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	29850196	31277686	668	-0.1823
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	31280823	31296451	12	-1.4182
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	31309924	32501299	523	-0.1638
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	32508476	32626618	51	-0.4926
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	32650612	52662671	12771	-0.168
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	52662694	52664482	2	-2.3017
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	52664572	53931151	947	-0.1604
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	53931230	53931855	6	0.7307
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	53935348	55754378	1162	-0.1445
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E08_802364	6	55760671	55760688	3	-2.4201
