Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	61735	35091638	19129	0.03
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	35091674	35104491	21	-0.6304
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	35114268	72740073	23805	0.0322
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	72740734	72811148	64	0.3152
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	72811904	77132591	2764	0.0489
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	77139865	77140686	2	-1.3354
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	77141039	83829357	4324	0.028
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	83829675	83829841	2	-2.1043
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	83829980	104163787	12950	0.0316
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	104178038	104268222	25	0.4003
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	104303403	110226487	3589	0.0296
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	110226743	110240178	23	-1.2762
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	110242953	112696087	1955	0.0274
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	112696193	112697241	21	0.6734
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	112697376	114831965	1327	0.039
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	114833626	114833710	2	-1.3143
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	114833802	121089508	3764	0.0249
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	121120602	121127900	2	-1.2326
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	121129349	152555527	2923	0.0014
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	152555706	152585718	29	0.513
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	152586117	152761923	177	0.0283
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	152761939	152768700	36	0.4289
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	152773905	161523865	5274	0.0271
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	161523880	161637956	41	0.3927
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	161638201	185103273	16517	0.0302
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	185107854	185128250	11	0.6365
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	185129437	196714873	7612	0.0295
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	196727850	196799505	79	-0.357
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	196799699	223619734	18104	0.0277
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	223628190	223646781	61	0.8067
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	223646839	248709616	17528	0.0285
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	248709670	248809369	44	-0.4074
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	1	248818483	249224388	140	0.0963
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	12784	14700629	11025	0.0273
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	14700683	14710021	17	-0.7799
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	14710092	34691069	13032	0.0248
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	34699315	34737163	47	-0.411
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	34737556	35968036	875	0.0411
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	35975973	35987916	7	-1.0777
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	35987947	87513287	34251	0.026
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	87514379	87520356	3	-1.2853
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	87521205	97784139	1889	-0.018
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	97790279	97877173	44	-0.287
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	97886334	117585649	11394	0.0208
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	117588586	117589853	3	-1.5536
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	117591245	123477014	3748	0.0265
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	123479899	123482241	9	-1.95
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	123483653	130780153	4763	0.0283
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	130780247	130874488	23	-0.6742
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	130874876	132538742	581	0.0013
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	132548521	132560381	3	-1.3186
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	132571593	146862085	8983	0.0225
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	146864404	146866934	24	-1.4255
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	146877806	188431835	25279	0.0266
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	188432012	188459825	27	-0.6749
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	188460354	208350754	11586	0.0253
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	208354912	208360146	22	-0.4136
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	2	208360222	243089456	22079	0.0306
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	3	60345	26601100	20005	0.0353
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	3	26601760	26614985	25	-0.9901
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	3	26615949	46774776	13142	0.0237
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	3	46775383	46844400	40	0.3288
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	3	46844439	75532431	19481	0.0281
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D09_802378	3	75538843	75561141	13	-0.3612
