Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	61735	16153497	8396	-0.1006
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	16153536	16153925	5	-2.2133
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	16154201	16844932	301	-0.0469
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	16846035	16963313	29	0.6105
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	16963545	17005978	19	0.1546
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	17011450	17016177	14	-0.6319
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	17016259	17048479	21	0.0083
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	17056457	17262247	86	0.3578
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	17276241	25583291	5254	0.0369
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	25583341	25646986	29	-1.4026
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	25661501	31577387	2989	0.0058
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	31582980	56791757	14391	0.3639
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	56792679	72763370	11461	0.7465
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	72768418	72811148	48	-1.0632
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	72811904	81664000	5609	0.7194
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	81665932	106021204	15428	0.2547
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	106021219	106022344	9	1.0183
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	106022360	110224384	2656	0.1556
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	110224427	110242953	32	0.8833
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	110244998	112690326	1956	0.1758
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	112695965	112697213	22	-1.4547
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	112697241	121302849	5173	0.1815
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	121303958	121343796	12	-0.2946
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	121355881	144842558	60	0.321
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	144849539	144868360	5	1.4241
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	144869084	148870400	1115	0.2032
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	148870937	149036524	17	-0.3582
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	149041202	149306068	138	-1.8549
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G09_778132	1	149336636	149363538	11	-0.1143
