Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	61735	12882985	6557	-0.065
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	12883096	13384168	28	0.2819
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	13384254	16149915	1835	-0.044
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	16153497	16155010	10	0.5324
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	16165661	16344827	83	-0.0746
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	16345255	16408804	15	0.3062
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	16413265	16903726	210	-0.0419
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	16909609	16970456	35	-0.585
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	17005734	17005978	3	-0.2041
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	17011450	17012741	12	0.5072
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	17012785	17190004	47	-0.1281
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	17190862	17262247	62	0.5025
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	17276241	25583291	5270	-0.059
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	25583341	25646986	29	0.7552
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	25661501	64900424	23454	-0.1684
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	64901105	64913565	10	-0.8874
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	64913611	65314047	314	-0.2614
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	65316052	65324146	8	0.2512
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	65324189	65427085	196	-0.9542
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	65427163	67556178	1530	-0.2713
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	67564082	67564281	2	-1.7312
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	67564486	72768916	3359	-0.2751
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	72768936	72811133	44	-1.2203
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	72811148	102841927	19488	-0.2713
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	102843535	102843599	2	-1.7381
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	102843624	104225568	623	-0.2366
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	104239689	104268222	13	-0.8538
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	104303403	106013376	920	-0.2485
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	106019205	106022375	17	-1.1654
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	106024055	110227515	2671	-0.2822
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	110232974	110234628	11	0.5623
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	110235032	112690326	1964	-0.3116
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	112695965	112697390	25	0.2954
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	112705956	120887482	5103	-0.2792
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	120909365	149242663	1391	-0.0466
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	149242725	149248727	17	0.6407
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	149248841	152556063	1539	-0.0442
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	152556144	152590962	35	0.3222
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	152591024	152761923	166	-0.018
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	152761939	152768700	36	0.4858
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	152773905	169216937	11351	-0.0412
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	169233974	169241766	7	0.7136
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	169242401	174796556	3528	-0.0114
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	174796699	174801737	14	-0.5717
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	174801840	193155792	12268	-0.017
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	193156279	193156348	4	-1.1827
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	193159723	196714873	2401	-0.0047
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	196727850	196802002	92	-0.7263
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	196802072	217709890	14226	-0.0298
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	217710533	217710560	2	-1.5039
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	217719563	241104198	16352	-0.0261
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	241105373	241230129	99	0.3807
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	1	241234609	249224388	5298	-0.0422
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	12784	20499761	15389	0.182
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	20500392	20741458	141	-0.3227
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	20741518	31629820	6702	0.179
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	31630382	31632087	2	-1.1831
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	31635151	34520473	1799	0.2084
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	34523978	34525580	2	-2.5124
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	34525967	34652871	84	0.2462
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	34659936	34716770	28	-0.141
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	34716936	50975828	11866	0.181
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	50976171	50976615	5	-1.3455
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	50976852	52754468	1211	0.1583
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	52754480	52781542	39	-0.2678
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	52787949	55164857	1862	0.1789
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	55165134	55186394	25	-0.2894
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	55195220	70590129	9838	0.176
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	70591807	70659474	52	0.5504
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	70659772	81946861	7297	0.1822
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	81949963	81950495	2	-1.2935
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	81953532	87815648	3112	0.1836
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	87815681	87827978	7	-0.4714
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	87839297	97846887	1859	0.1534
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	97849997	97918357	24	0.4899
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	97918405	98118212	18	-0.0059
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	98140747	98162189	9	-0.8766
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H03_628502	2	98166878	106874006	5577	0.1752
