Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	61735	2272064	436	0.0247
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	2273446	2281726	3	-1.116
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	2282354	21751244	11481	0.0071
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	21759795	21760125	2	-1.7198
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	21769887	22493672	423	-0.0076
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	22493977	22504272	7	-1.5243
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	22507423	51259041	15835	0.0104
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	51261588	51370260	48	0.2692
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	51375168	72768418	14813	0.0205
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	72768498	72811148	47	1.0794
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	72811904	104163787	20093	0.0251
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	104178038	104303403	26	-0.315
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	104303501	106021204	924	0.0752
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	106021219	106022375	11	-0.6764
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	106024055	110197201	2647	0.0695
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	110201580	110232974	25	-0.2287
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	110233037	110242953	17	-1.5142
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	110244998	111376220	838	0.0819
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	111377368	111392067	40	-0.6567
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	111393297	169216937	20719	0.0513
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	169233974	169241766	7	0.716
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	169242401	207256205	24898	0.058
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	207256917	207257303	3	-0.5881
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	207260606	213004455	4173	0.0794
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	213005012	213006397	6	-0.7656
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	213010436	248605752	24956	0.0185
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	248610056	248683400	19	-0.499
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	1	248683401	249224388	196	0.0702
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	12784	1438072	955	-0.0092
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	1438355	1445793	11	-0.5698
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	1446037	4205687	2021	0.0195
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	4213864	4223567	38	-0.6004
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	4223695	34664750	21088	0.0181
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	34675467	34737057	51	-0.3795
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	34737163	52754468	13045	0.0126
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	52754480	52781542	39	-2.4087
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	52787949	86937687	21941	0.0114
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	86953070	86953854	2	-1.7949
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	86970406	87128201	64	0.0425
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	87129203	87137385	2	-1.8675
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	87161853	89565217	862	0.0034
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	89568468	91627440	179	-0.7031
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	91628496	91865355	56	-0.2728
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	91869346	129638911	20034	0.0165
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	129638961	129640297	9	-0.7335
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	129640315	135051527	3155	0.0084
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	135056484	135056870	3	-1.0334
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F08_730918	2	135058257	146862085	7323	0.0209
