Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	61735	712545	36	0.6182
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	718663	2904726	572	0.0675
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	2905177	2906842	2	-2.1381
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	2908388	12838744	5906	-0.0047
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	12839576	13543101	76	0.4273
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	13544175	16153497	1813	-0.001
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	16153536	16153925	5	-1.768
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	16154201	21691897	3455	0.0138
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	21692136	21778260	39	0.3824
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	21778508	25583341	2236	0.001
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	25593128	25678362	36	0.7051
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	25678377	33948091	4058	0.0096
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	33951343	33953918	2	-2.2125
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	33954352	35102654	896	-0.0243
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	35102670	35103036	5	-0.996
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	35103142	37064882	922	-0.0021
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	37065201	37066434	3	-2.1529
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	37066858	62765049	16051	-0.0026
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	62765461	62767968	6	-1.4213
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	62772200	72750353	6831	0.0026
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	72756113	72763370	9	-1.273
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	72768418	72794462	25	0.5159
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958	1	72795215	76050815	1953	0.0065
