Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	61735	86341	15	0.3606
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	98588	3756155	1029	-0.0164
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	3762761	4737383	686	-0.5369
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	4737605	4746774	10	-1.4609
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	4747663	12852748	4750	-0.5179
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	12857863	12858053	2	-7.3324
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	12859292	32155717	10886	-0.5192
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	32159570	32957752	308	0.0246
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	32958223	34706284	1051	-0.4981
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	34706660	34888152	165	0.1081
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	34890596	34907148	11	-0.462
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	34910758	35061403	101	0.0669
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	35062542	35328407	172	-0.4764
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	35333126	37782902	1295	0.0563
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	37787733	38446184	318	-0.5432
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	38446457	72768916	22114	0.0556
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	72768936	72811148	45	-1.1228
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	72811904	89475255	10981	0.064
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	89477958	89478205	2	-2.6598
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	89481524	110226378	12726	0.0554
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	110226487	110240178	24	-0.7918
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	110242953	111379410	855	0.0342
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	111379555	111383349	13	0.4821
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	111383381	112545583	941	0.0366
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	112546599	112547224	2	-1.4235
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	112547271	112696087	149	0.0739
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	112696193	112706082	27	0.5031
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	112706118	120109260	4723	0.0541
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	120110074	120129461	39	-0.3292
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	120129492	144013594	426	0.0369
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	144013689	144527656	38	0.3237
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	144527695	144897697	54	-0.048
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	144901750	147827821	1034	0.4241
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	147829226	149041518	65	0.1136
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	149041722	151657521	1102	0.3975
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	151659023	152555706	556	0.0867
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144	1	152555767	152586576	33	1.4357
