Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	61735	990517	91	-0.1618
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	990839	1018704	3	-5.6576
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	1029055	2077409	282	-0.2973
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	2081642	2082814	4	-7.5407
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	2083329	5901288	2215	-0.3071
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	5902050	5902086	2	-7.5751
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	5902314	22496703	9318	-0.1505
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	22501716	22507423	4	-5.8009
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	22508650	29765644	3485	-0.1389
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	29766056	29766149	3	-5.646
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	29768951	38189207	4732	-0.1043
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	38192337	38203359	6	-4.0089
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	38204361	55509355	9464	-0.0877
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	55513061	55518682	7	-3.2588
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	55518752	62716575	5417	-0.0484
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	62716806	62733939	11	-2.0624
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	62734089	64356558	1065	-0.1151
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	64359324	64362273	4	-2.9479
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	64366659	70889476	4480	-0.0997
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	70891236	70896033	5	-3.3828
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	70896626	70963368	64	-0.2201
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	70963728	70985899	13	-4.5235
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	70986397	70997945	16	0.1457
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	70998145	71001138	4	-4.8511
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	71002192	83829022	8136	-0.0641
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	83829357	83829980	2	-7.5751
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	83833922	88631582	3246	-0.0732
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	88632151	88632421	3	-4.7229
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	88634064	91644594	1888	-0.107
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	91647199	91659966	6	-2.7914
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	91660285	101833755	6229	-0.0747
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	101834080	101842322	8	-2.75
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	101842666	102672092	610	-0.1493
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	102678606	102816541	95	0.3998
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	102818617	107554040	2606	-0.1015
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	107560292	107564449	5	-3.2779
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	107565081	108744512	902	-0.0155
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	108744934	108745239	3	-3.3096
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	108745255	109256426	204	0.0032
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	109257169	109266187	3	-4.9978
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	109266523	110233118	501	-0.1062
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	110233262	110250572	23	1.2285
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	110250584	113425137	2369	-0.0575
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	113426308	113432054	3	-4.5438
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	113432444	114624673	659	-0.0584
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	114625578	114625602	2	-5.1269
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	114627311	152555527	6761	-0.0579
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	152555706	152586117	30	1.9284
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968	1	152586238	152759678	175	-0.2149
