Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	61735	228706	18	-0.1088
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	228729	229677	6	0.7956
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	235670	712545	12	-0.1179
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	718663	12859413	6496	-0.5747
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	12862241	12867510	11	0.2058
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	12867643	17017078	2244	-0.5648
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	17017530	17082591	21	-1.3
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	17087292	17283075	86	-0.2022
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	17284920	25583341	5263	-0.5694
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	25593128	25663310	32	-1.4751
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	25663344	60983285	20611	-0.5706
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	60983620	60983782	2	-3.0735
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	60985386	62114006	853	-0.5818
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	62114951	62118187	2	-2.8426
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	62119809	72768916	7384	-0.5924
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	72768936	72811133	44	-1.3921
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	72811148	73682382	539	-0.6282
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	73685730	73692243	4	-2.0997
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	73693655	76050844	1390	-0.6052
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	76054763	76054854	2	-2.3616
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	76059509	83740137	5125	-0.6096
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	83740524	83751974	6	0.2963
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	83755433	104163787	13023	-0.5856
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	104178038	104303403	26	-1.3842
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	104303501	110227500	3603	-0.5808
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	110227515	110240178	18	1.2341
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	110242953	112696087	1959	-0.5711
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	112696193	112709053	37	-0.1246
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	112709073	119778411	4437	-0.5714
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	119779170	145181880	975	0.2239
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	145184943	145391761	40	-0.1225
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	145392524	148947710	908	0.213
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	148949202	149242663	116	-0.4846
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	149242725	149249447	19	0.1929
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	149254329	149422108	30	-0.2168
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	149422459	149545386	8	0.3936
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	149548713	149578722	3	1.3923
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	149617451	152555527	1491	0.1974
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	152555706	152586594	35	1.1988
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	152590494	152761955	174	0.2208
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	152762008	152768700	34	0.5636
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	152773905	189084033	24443	0.2017
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	189084365	189121080	43	-0.0669
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	189121717	190609374	1049	0.1949
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	190624727	192546301	1167	-0.6026
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	192550666	196714873	2868	0.1818
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	196727850	196758120	37	-1.6489
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	196758149	196815791	59	-0.7509
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	196816730	199107702	1380	0.189
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	199111363	199113011	8	-0.7136
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	199113840	208078421	5746	0.205
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	208080972	208081467	2	-0.8765
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	208081502	210071062	1690	0.221
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	210081613	210083984	3	-0.8164
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	210086552	219346616	6489	0.1883
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	219351142	220855260	1012	-0.634
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	220855844	248808864	19502	0.193
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	248809109	248809369	2	1.5551
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	1	248818483	249224388	140	0.2154
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	12784	17222050	12862	-0.521
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	17222301	17248504	39	-1.2755
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	17248573	34699315	11215	-0.509
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	34701394	34737163	46	0.0126
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	34737556	35670434	640	-0.529
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	35670651	35674924	5	-1.405
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	35674977	35975973	231	-0.5456
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	35977790	35987947	7	0.3944
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	35997473	36387049	320	-0.5175
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	36390213	36404591	25	-1.0727
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	36404774	40329403	2824	-0.5288
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	40330275	40336640	6	-1.5184
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	40338067	86296566	30603	-0.5179
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	86297279	86396697	66	-0.7873
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	86398785	97875777	2425	-0.4886
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	97876200	97876273	2	-2.4058
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	97876806	98118212	27	-0.4528
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	98140747	98161710	8	1.3614
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	98162189	106138125	4922	-0.5193
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	106138812	106139216	2	-2.9357
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	106140211	180413371	45159	-0.5214
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	180418211	180421888	27	-1.1493
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	180421906	191124109	6336	-0.528
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	191124282	191126246	2	-1.9435
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	191134714	215762024	14849	-0.5206
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	215766606	216299629	331	-0.1345
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	216299922	222471013	4066	-0.5111
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	222471460	222471516	2	1.3878
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	222472562	243021110	12979	-0.5164
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	2	243023723	243089456	48	-0.1603
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	60345	68746164	47893	0.1734
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	68746259	68747413	14	-1.0244
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	68748758	73787874	3808	0.176
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	73788004	73788408	5	-0.7115
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	73788644	75548569	1120	0.1588
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	75548734	75596246	14	0.6029
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	75608639	84698834	4995	0.1492
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	84698857	84702136	18	-0.2922
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	84702161	98407304	5700	0.1416
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	98407314	98407386	2	-1.2041
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	98407400	128380252	18451	0.1697
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	128381249	128412331	16	0.936
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	128414161	129761124	624	0.1796
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	129762859	129806052	52	0.6882
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	129806236	130131184	207	0.2048
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	130132202	130132631	3	-0.7825
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	130134563	136019099	3830	0.1816
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	136022951	136025426	2	-2.3838
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	136038541	158331051	13636	0.1652
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	158337765	158339541	2	-1.3776
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	158341622	162512739	2624	0.1657
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	162513092	162528630	11	-0.599
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	162530315	162540490	9	0.5532
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	162545716	162615915	42	-0.29
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	162623842	186406138	14471	0.1578
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	186412861	186417771	11	-0.7383
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	186421870	192877902	4731	0.1698
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	192877962	192882903	19	-0.9848
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	3	192886435	197896118	2707	0.1755
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	12281	4165335	1716	0.2667
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	4166518	4166997	3	-0.9584
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	4167133	9456977	3533	0.291
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	9461230	9479345	9	-0.7449
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	9486087	10223628	548	0.2764
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	10223848	10231498	26	-1.8256
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	10234214	10235268	7	-0.2855
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	10236142	12151463	1658	0.2491
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	12154508	12162141	3	-0.881
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	12165924	34779054	15342	0.1339
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	34786500	34819211	35	0.4525
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	34821340	64693940	16601	-0.0292
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	64697469	64708258	29	0.5555
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	64716431	69360489	2883	-0.0471
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	69367142	69528959	72	0.5061
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	69536788	69745794	102	-0.0563
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	69749750	69749788	2	-1.3909
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	69752148	70389716	385	0.0156
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	70389861	70390779	2	1.1569
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	70391888	77289786	4159	-0.0324
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	77292076	77292276	2	-1.849
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	77292319	115175323	23106	-0.0325
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	115175344	115184310	26	0.3601
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	115184322	116165868	608	-0.0332
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	116166104	116180555	28	-0.4095
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	116182579	161946759	27501	-0.034
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	161952228	162003266	43	0.462
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	162006824	171858277	6233	-0.0381
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	171860117	171860128	2	-1.5422
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	171860893	172369346	346	-0.0293
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	172374884	172377776	12	1.0274
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	172380371	172987928	397	-0.0539
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	172989148	172989533	12	0.9309
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	4	172995979	191027923	12136	-0.0319
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	15532	81497	30	0.0647
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	81729	206016	77	-0.1536
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	217802	225948	3	-1.001
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	226343	717525	202	-0.0398
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	717561	779860	25	0.465
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	779881	12800889	9894	-0.0209
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	12815780	12838533	14	-1.1915
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	12849201	21449276	5544	-0.036
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	21451200	21452438	5	1.032
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	21452496	41561373	12914	-0.0426
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	41564126	41564438	2	-1.5136
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	41564562	46246660	2119	-0.0356
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	46251306	46271108	3	-1.0188
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	46271930	46273502	6	-2.4348
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	46278212	94080919	26215	-0.0245
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	94087184	94253296	125	-0.4627
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	94254043	97045121	1727	-0.0073
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	97048466	97051863	9	-1.3317
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	97051910	97063184	5	0.0825
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	97063231	97099320	29	-0.8203
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	97099684	103849453	3885	-0.0322
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	103849700	103860604	6	0.6972
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_F12_914188	5	103861049	104585978	552	-0.0409
