Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	61735	98602	17	1.0924
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	228706	8084817	3924	-0.0883
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	8089181	8129507	24	0.5573
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	8130840	9589413	810	-0.072
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	9596481	9596865	2	-2.6851
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	9602373	16267147	3576	-0.0704
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	16273995	16379416	49	0.4302
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	16389566	17005978	252	-0.0487
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	17011450	17262247	121	0.2702
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	17276241	24509074	4497	-0.0523
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	24512055	24632909	92	0.4505
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	24634427	24877458	153	-0.0408
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	24878791	24898453	3	-1.0135
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	24901863	24931758	25	-0.0344
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	24932733	25064001	71	0.4972
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	25066448	72763370	28746	-0.0467
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	72768418	72811133	47	-1.452
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	72811148	106019236	20709	-0.0408
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	106019310	106022375	15	1.1646
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	106024055	110232974	2632	-0.0408
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	110233037	110240178	15	0.6867
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	110242953	119863723	6374	-0.0445
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	119864586	120039749	158	0.8558
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	120047647	120068798	25	0.0606
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	120072082	120667389	377	0.7914
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	120668364	144542773	155	0.3809
BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_B12_1344694	1	144545755	149051903	1151	0.817
