Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	61735	235938	27	-0.1749
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	356443	356542	2	1.535
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	404171	16149003	8383	-0.1882
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	16149067	16167780	16	0.3844
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	16167799	16846035	297	-0.1488
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	16851514	17012785	60	-0.4787
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	17016177	17017078	5	0.2127
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	17017530	17262232	102	-0.7714
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	17262247	25556691	5260	-0.1663
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	25558560	25699995	61	0.1553
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	25702719	34656384	4610	-0.1942
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	34656812	34657303	2	-2.1129
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	34661652	38330054	2063	-0.2058
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	38332378	38553721	91	1.5656
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	38555347	39079244	368	2.0151
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	39080101	41293489	1170	0.5435
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C02_780922	1	41293664	42302879	658	0.8748
