Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	61735	229677	24	0.4109
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	235670	4793580	1754	-0.2278
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	4794114	4797498	3	-1.5698
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	4798021	17056457	6997	-0.1875
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	17076467	17112177	16	-0.6818
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	17114427	25593128	5313	-0.1872
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	25595881	25696602	47	0.1713
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	25698469	35091638	4931	-0.1748
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	35091674	35104491	21	-0.7441
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	35114268	72740734	23718	0.0907
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	72746533	72763370	15	-0.4303
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	72768418	72811148	48	1.0986
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	72811904	83829022	7055	0.0764
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	83829357	83829980	4	0.9883
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	83833922	83867826	18	0.0408
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	83868726	83891295	13	0.4712
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	83891406	85016559	781	0.0718
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	85017172	85017326	2	-1.1832
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	85018052	104159347	12080	0.0552
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	104159384	104303403	29	-0.6169
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	104303501	106019370	913	0.0564
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	106019483	106022344	11	-0.6598
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	106022360	106299545	205	0.0428
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	106306488	106315854	8	-0.5202
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	106320956	107402635	709	0.0542
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	107403028	107403229	5	-0.8238
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	107404931	110224384	1713	-0.0382
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	110224427	110232974	15	0.6366
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	110233037	110242953	16	1.6879
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	110244998	116820098	4618	-0.0284
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	116822029	116834105	12	-0.5236
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	116837825	152555527	5337	0.1552
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_A06_1301328	1	152555706	152556414	7	1.2601
