Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	61735	228729	19	-0.1923
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	229075	229619	4	2.1476
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	229677	2061969	345	-0.1821
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	2069681	2082814	9	-4.7645
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	2083329	4368026	901	-0.4649
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	4368216	4370074	5	-4.6192
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	4370346	11924027	4529	-0.2943
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	11927056	11928895	2	-5.5792
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	11929568	14251497	891	-0.248
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	14252247	14254636	5	-4.1019
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	14254750	15122398	712	-0.2663
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	15124318	15124697	2	-4.3222
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	15125843	15700417	443	-0.3469
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	15701116	15701671	2	-5.8659
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	15702130	16344827	328	-0.3268
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	16345255	16379416	7	-3.2798
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	16389566	22503776	3709	-0.2657
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	22504272	22507423	2	-7.5123
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	22508650	22969940	286	-0.3001
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	22972098	22980686	6	-4.2173
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	22980764	23536101	350	-0.2529
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	23537555	23545787	9	-3.1218
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	23549013	25327406	919	-0.2629
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	25329752	25331585	4	-4.4958
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	25333264	25583341	183	-0.2167
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	25593128	25646184	24	-1.8245
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	25646689	27362665	714	-0.2702
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	27365662	27369378	3	-2.9143
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	27372047	30724627	1623	-0.0346
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	30726574	30745210	20	-0.979
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	30747576	30884346	111	-0.0393
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	30885437	30885525	2	-5.4971
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	30886499	31217585	275	-0.0554
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	31223351	31223393	2	-3.6259
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	31223587	31229190	3	0.8186
CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_E04_1147978	1	31229883	31251698	16	-0.8461
