Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	61735	16149915	8418	-0.1516
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	16153497	16153925	6	-1.3836
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	16154201	17005978	349	-0.1175
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	17011450	17276241	122	0.2532
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	17277940	25583341	5271	-0.14
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	25593128	25646946	27	0.3687
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	25646986	31621427	3013	-0.1514
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	31623667	31625346	2	-2.2893
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	31625389	55723441	13502	-0.1458
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	55724023	55724299	6	-1.1719
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	55729368	72750353	12340	-0.1611
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	72756113	72763370	9	-1.3131
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	72768418	72811148	48	1.0056
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	72811904	86249857	8807	-0.1725
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	86249894	86249911	2	-1.7225
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	86251672	110227515	14919	-0.1641
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	110232974	110240178	17	1.0784
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	110242953	110250572	10	-0.458
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	110250584	110253130	10	-1.4949
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	110256624	111370372	810	-0.1431
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	111370395	111393505	53	0.0638
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	111393713	112695965	1074	-0.1575
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	112696087	112706062	27	0.2076
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	112706082	118865987	3931	-0.1469
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	118868405	118869556	3	-1.2283
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	118871068	144034150	1272	-0.1599
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	144036749	144076688	20	-0.5343
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	144081043	145235251	215	-0.1176
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	145235261	145276470	10	-0.7203
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	145280322	148662729	902	-0.1422
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	148662763	149024808	24	-0.4789
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	149036524	149306068	141	-1.0015
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	149336636	149739073	54	-0.4197
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	149748542	152555706	1468	-0.1454
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	152555767	152560541	8	-0.9672
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	152560868	152586238	22	-2.0157
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	152586278	174796405	15092	-0.1611
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	174796556	174801840	16	-0.667
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	174801854	177198818	1584	-0.1694
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	177199426	177199560	2	-1.6511
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	177202433	196714873	13086	-0.1686
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	196727850	196802002	92	0.1903
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	196802072	199111521	1387	-0.1722
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	199111690	199113011	5	-1.2708
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	199113840	210071062	7438	-0.1603
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	210081613	210082065	2	-1.6655
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	210083984	213005118	1954	-0.163
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	213005133	213006397	4	-2.1366
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	213010436	234656920	14929	-0.1659
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	234657589	234657673	2	-1.8331
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	234659807	245636410	8034	-0.1629
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	245637039	245646904	11	-1.6701
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	1	245649651	249224388	2211	-0.1479
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	12784	4205687	2991	-0.1552
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	4213864	4224019	42	-0.4103
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	4230062	8098067	3229	-0.1438
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	8098075	8098622	2	-1.3089
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	8098986	8127916	42	-0.1391
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	8129338	8136044	8	-0.8759
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	8136618	19358068	8192	-0.1492
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	19359988	19708950	253	-1.4128
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	19723434	34685280	9361	-0.1432
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	34691069	34737057	47	-0.6378
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	34737163	35008569	198	-0.1326
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	35008648	35009220	4	-1.1922
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	35009879	35975973	676	-0.1334
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	35977790	35987916	6	-1.5213
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	35987947	37464085	1193	-0.1389
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	37464511	37464743	2	-1.5217
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	37468065	38408960	765	-0.1499
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	38409220	38409844	2	-1.5899
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	38410270	52736794	10196	-0.1511
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	52737183	52781542	49	0.2027
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	52787949	106874649	29682	-0.1511
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	106874722	106887255	14	0.5626
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	106887408	124160893	10071	-0.1517
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	124162439	124163281	3	-1.8486
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	124167022	146864429	13895	-0.1531
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	146864443	146866934	22	0.657
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	146877806	180419753	20542	-0.1611
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	180420443	180421497	10	-1.3359
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	180421512	207569803	15936	-0.1588
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	207570122	207574944	3	-1.422
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	2	207575760	243089456	22693	-0.1491
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	60345	848802	660	0.2209
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	857458	859524	4	-0.8543
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	861153	22057218	15980	0.1833
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	22057241	22057256	2	-1.3461
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	22061442	28809786	4875	0.1654
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	28810441	28816108	7	-0.8991
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	28816843	53031763	14282	0.1697
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	53031809	53039489	38	-0.4036
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	53039677	67302329	11073	0.177
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	67308955	67309334	2	-1.0849
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	67310113	68746164	965	0.1777
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	68746259	68747243	10	-0.537
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	68747289	75568549	4946	0.1724
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	75572549	75586805	6	1.1211
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	75595181	98934512	11011	0.1445
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	98934604	98950964	43	0.4862
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	98951383	129762859	18757	0.1615
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C03_741400	3	129763698	129806236	52	-1.0846
