Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	61735	752566	45	0.3774
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	757469	17082591	8760	-0.016
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	17087292	17114712	16	-0.9434
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	17177045	17262247	66	0.4841
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	17276241	25583291	5261	-0.0118
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	25583341	25618931	17	-0.7157
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	25619040	29192399	1489	-0.0368
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	29194818	29194901	2	1.5465
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	29195757	48520777	11050	-0.0188
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	48520811	48521151	2	-1.5034
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	48522197	48713713	138	-0.0077
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	48715195	48715208	2	-1.6198
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	48715653	55723441	3818	-0.0138
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	55724023	55724299	6	-1.0759
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	55729368	58482341	2322	-0.004
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	58482943	58484277	5	-1.5702
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	58484464	64837281	4552	-0.017
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	64842727	64851545	4	-2.1653
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	64854605	76050844	7412	-0.0261
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	76054763	76054854	2	-2.7785
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	76059509	106013376	19070	-0.0285
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	106019205	106022375	17	-2.0606
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	106024055	110227515	2665	-0.0311
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	110232974	110244998	19	-0.7232
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	110246126	118639177	5769	0.0133
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	118640818	118668293	17	0.4993
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	118671784	121340237	1367	0.1233
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	121343796	144546946	54	0.4986
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	144549929	144868360	12	1.2619
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	144869084	148789983	1112	0.2641
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	148858445	149521846	184	0.8426
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	149545372	149617451	6	-0.7135
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	149617488	149835493	73	0.4441
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	149844995	150447269	264	0.1799
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	150449555	150455854	3	-0.7948
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	150456169	152759678	1354	0.2231
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	152761923	152768700	37	0.7296
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	152773905	161502894	5269	0.2225
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	161508791	161658780	60	0.5515
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	161660040	169216937	6000	0.2354
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	169233974	169241766	7	0.903
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	169242401	196714873	18187	0.2552
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	196727850	196791043	70	-0.4796
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	196798565	196801655	17	-1.4448
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	196801784	196905159	72	-0.559
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	196909645	199107702	1313	0.3126
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	199111363	199113840	9	-0.4896
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	199114238	210071062	7428	0.3128
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	210081613	210082065	2	-1.9775
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	210083984	248622152	26898	0.3023
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	248624337	248638626	7	1.1823
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	248641192	248736075	24	0.2099
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	248737447	248795289	31	-2.2444
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	1	248795852	249224388	148	0.2221
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	12784	4213864	2990	0.0652
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	4214200	4223512	36	0.5527
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	4223567	6823758	2171	0.0768
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	6826133	6828881	2	-1.5922
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	6831097	7229829	342	0.066
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	7233524	7234476	10	-0.5768
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	7236150	24606954	12385	0.0747
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	24606982	24611128	14	-0.5859
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	24611727	34691069	6147	0.0687
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	34699315	34737057	46	0.5886
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	34737163	34949368	146	0.0558
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	34954042	34954795	3	-1.0393
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	34955423	37986275	2306	0.0582
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	37986276	37998864	12	-0.515
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	37998930	52743925	10560	0.0595
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	52754468	52754865	6	1.1328
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	52754881	52781412	30	0.4977
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	52781497	52781542	4	1.0394
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	52787949	90247815	23009	0.0617
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	90248307	95341550	150	0.4143
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	95341700	97776223	829	0.0682
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	97780859	98225614	96	0.4154
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	98241192	132759800	20563	0.0732
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	132760324	133070482	70	0.3304
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	133072987	138505147	3710	0.067
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	138505404	138512353	9	-1.0266
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	138515452	146862085	5137	0.0513
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	146864404	146866707	21	0.875
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	146866798	180418333	20500	0.0615
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	180418388	180422137	28	-0.8411
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	180425643	226954356	28536	0.1263
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	226954448	226961418	9	-1.0474
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_H03_808600	2	226963698	234645563	4638	0.0409
