Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	61735	768793	52	0.4675
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	777122	1729738	220	-0.0339
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	1729800	1733392	6	-1.3873
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	1734326	12839576	6217	-0.0032
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	12841928	13688196	83	0.3458
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	13688680	16153497	1803	-0.0087
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	16153536	16153925	5	-2.0246
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	16154201	16819633	294	-0.0372
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	16820619	16963313	35	0.6504
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	16963545	16968211	7	-0.6511
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	16968374	17087292	52	0.2169
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	17089349	17276241	82	0.6851
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	17277940	21705311	2979	-7e-04
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	21705378	21778508	34	0.4047
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	21779898	25583341	2223	-4e-04
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	25593128	25663344	33	0.867
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A06_731070	1	25673154	38582858	6765	-0.0088
