Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	61735	229619	23	-0.8644
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	229677	25583341	14098	-0.0012
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	25593128	25645658	23	-0.7644
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	25646184	34216658	4272	-0.0028
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	34217529	34217931	2	-1.6353
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	34222304	39128601	2887	0.0066
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	39132430	39132432	3	-1.6758
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	39132433	72763370	21587	0.0031
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	72768418	72768916	3	-0.5239
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	72768936	72811148	45	-1.4942
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	72811904	108766355	22940	-0.0029
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	108769302	108817179	2	-3.2277
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	108828957	110227515	703	-0.0254
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	110232974	110253130	37	-0.9047
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	110260742	111376220	814	0.0023
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	111377368	111388226	39	-0.8199
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	111392067	114831965	2418	-0.0027
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	114833626	114833710	2	-1.7976
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	114833802	119822114	3135	0.0014
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	119824446	119824812	2	-1.7601
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	119824895	148870937	1880	0.0216
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	148893345	149256691	148	-0.7749
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	149259416	152555176	1523	-0.0204
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	152555527	152586594	36	1.1068
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	152590494	161508875	5456	5e-04
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	161517939	161650494	52	0.6288
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	161650621	166548373	3941	0.0043
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	166552201	166553095	6	-0.9951
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	166553495	196732086	20184	0.0034
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	196738623	196823716	96	-0.3863
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	1	196823836	249224388	35809	1e-04
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	12784	12080908	9042	0.0046
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	12082596	12082685	2	-1.7407
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	12082958	34701625	14997	0.0032
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	34701671	34741027	49	0.2908
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	34742910	50806891	11621	0.0075
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	50809998	50812891	2	-1.6901
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	50812911	52743925	1354	0.0121
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	52754468	52781542	40	0.366
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	52787949	52844226	40	0.016
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	52851573	52854567	2	-1.2381
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	52858441	54511631	1255	0.0016
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	54513742	54517221	3	-0.9552
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	54517853	55322895	661	-0.0057
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	55324288	55330313	37	-0.9455
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	2	55330328	243089456	110481	0.0041
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	3	60345	6646543	5815	0.0099
DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_G06_1343860	3	6651128	6653332	23	-0.8614
