Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	61735	1642103	230	0.0824
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	1647330	1672603	13	-0.8329
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	1687587	17190004	8595	0.0274
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	17190862	17277940	64	0.3587
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	17282425	22496703	3453	0.0149
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	22501716	22509206	9	-1.1832
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	22514236	25582629	1805	0.0216
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	25582679	25673154	38	0.426
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	25678084	30731522	2389	0.0102
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	30731577	30731698	2	-1.951
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	30732380	41021036	5783	0.0193
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	41022076	41028210	4	-1.2125
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	41028926	43925420	1794	0.0151
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	43925768	43926305	4	-0.9021
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	43935197	45360658	818	0.0108
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	45361069	45362445	2	-1.1912
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	45362992	55929930	5893	0.0199
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	55930104	55930450	2	-1.3414
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	55931747	65903445	7585	0.0183
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	65906265	65924759	9	-0.6076
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	65925116	72763370	4571	0.0085
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528	1	72768418	72811148	48	1.0786
