Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	61735	17089349	8795	-0.2674
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	17093257	17262232	79	-0.0077
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	17262247	25583341	5264	-0.2683
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	25593128	25646689	25	0.3382
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	25646744	36019962	5419	-0.2615
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	36020726	72768916	23431	0.2452
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	72768936	72811148	45	1.2209
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	72811904	89475255	10982	0.2467
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	89477958	89478205	2	-0.8916
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	89481524	106019205	10054	0.2403
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	106019236	106022375	16	0.906
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	106024055	110224384	2653	0.2516
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	110224427	110242953	32	-0.2571
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	110244998	112696273	1961	0.2337
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	112696308	112706082	25	0.582
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	112706118	152555527	8037	0.2376
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	152555706	152586576	34	1.1437
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	152586594	152756774	169	0.2608
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	152756806	152768700	40	0.5199
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	152773905	161508791	5277	0.2333
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	161508875	161638513	48	-0.2494
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	161648237	174796405	9547	0.2426
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	174796556	174801840	16	-0.5066
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	174801854	189648157	9918	0.2404
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	189648483	189648527	2	-1.9975
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	189652047	196714873	4747	0.2327
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	196727850	196812507	94	0.5065
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	196812530	199111690	1385	0.2149
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	199111972	199113840	5	0.9959
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	199114238	210071062	7431	0.2393
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	210081613	210082065	2	-1.4327
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	210083984	240391740	21191	0.2438
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	240394015	240394139	6	-1.2194
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	1	240396105	249224388	5930	0.2407
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	2	12784	4205687	2991	0.0783
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	2	4213864	4223167	36	-1.9638
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	2	4223512	4224019	6	-0.6843
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	2	4230062	15057510	8264	0.096
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	2	15057607	15058938	3	-1.2086
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	2	15059183	34691069	12810	0.0944
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	2	34699315	34737057	46	0.4586
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	2	34737163	35581151	540	0.1101
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	2	35581507	35615675	53	-0.731
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	2	35621916	35968036	282	0.0923
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F02_777994	2	35975973	35987916	7	0.7108
