Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	61735	72776	8	-0.0762
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	82170	98588	8	0.8007
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	98602	3684185	972	0.0334
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	3685440	4286684	293	-0.2583
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	4291287	4302161	6	-0.9452
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	4308903	15687059	6868	-0.2166
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	15689107	15710411	24	0.4215
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	15710690	16153497	237	-0.0431
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	16153536	16155010	9	0.4975
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	16165661	16389566	92	-0.0842
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	16390402	16403721	3	-1.1424
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	16405611	16921719	215	-0.0387
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	16923012	17048479	71	0.4944
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	17056457	17212714	30	-0.4012
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	17214822	17283075	60	0.2853
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	17284920	19616913	1673	-0.0855
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	19618601	21988563	1487	-0.5155
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	21989375	23545787	974	-0.206
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	23549013	24849437	670	0.0469
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	24855177	24904075	23	0.4203
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	24904255	25555191	431	0.0573
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	25556691	25646986	40	0.5554
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	25661501	41597459	8511	0.0296
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	41602712	43171773	998	-0.2298
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	43178069	43886187	438	-0.5464
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	43893218	45264545	799	0.942
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	45269642	48338817	1640	-0.2073
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	48340901	67031327	12759	0.5186
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	67031907	67872781	589	0.0236
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	67878818	72763370	3129	-0.2262
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	72768418	72811148	48	0.502
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	72811904	76169775	2018	-0.2512
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	76174149	92334510	10871	0.5344
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	92334647	104155643	7206	0.2054
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	104155731	104225568	22	0.7214
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	104239689	106021627	941	0.2007
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	106021723	106022375	8	1.2475
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	106024055	106871208	566	0.1929
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	106879896	106880154	5	-0.4778
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	106880172	110227515	2100	0.2136
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	110232974	110240178	17	1.208
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	110242953	110246281	7	-0.2042
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	110250235	111377565	836	0.2095
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	111377568	111379573	15	-0.7977
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	111379750	111388226	22	-0.4151
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	111392067	112690326	1079	0.1976
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	112695965	112697241	23	0.609
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	112697376	113281188	401	0.2021
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	113281697	113282349	2	-1.0084
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	113284079	145138622	4984	0.219
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	145145091	152555176	2661	0.5215
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	152555527	152556414	8	1.4477
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	152560284	152571169	5	0.3704
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	152571360	152586594	23	1.6623
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	152590494	152762008	175	0.4876
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	152762046	152768700	33	0.9199
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	152773905	172879229	13854	0.5974
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	172879878	172950288	52	1.1311
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	172959716	174370753	765	0.6239
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	174373271	174420370	22	1.082
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	174423207	179323738	3290	0.5626
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	179330528	179333315	4	-0.9672
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	179339206	179727086	251	0.5796
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	179729518	179729554	2	1.8473
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	179733193	185568121	3991	0.5908
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	185573047	185595047	19	1.2527
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	185597494	192015909	4115	0.5555
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	192026255	192030180	4	0.99
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	192031580	194448234	1748	0.4841
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	194451411	194455018	2	1.8431
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	194457016	196714873	1454	0.482
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	196727850	196732086	4	-2.1538
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	196738623	210071062	8918	0.4987
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	210081613	210082065	2	-1.5732
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	210083984	211765386	1155	0.5109
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C02_667124	1	211765485	215676673	2668	0.7542
