Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	61735	564621	32	-0.1177
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	603590	6972308	3237	0.6479
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	6974987	11343744	2447	1.1264
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	11347492	11719057	215	0.879
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	11721042	11727678	5	1.6136
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	11728939	12927107	634	0.8724
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	12927856	14022643	226	0.0722
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	14028633	17017078	2000	-0.754
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	17017530	17076467	19	-1.7361
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	17082412	17177965	20	-0.6425
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	17182437	17261211	57	-1.1813
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	17261248	18125529	565	-0.695
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	18127396	18137079	5	-2.6692
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	18138177	18914104	667	-4.913
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	18915469	25571269	4023	-0.6223
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	25574471	25646946	34	-0.0662
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	25646986	30079116	1847	-0.6012
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	30079678	30156045	68	0.1885
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	30156975	30737373	485	-0.6406
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	30738355	30738534	4	-2.0731
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	30739299	30739796	3	-7.5103
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	30741496	32004150	817	-0.6177
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	32006435	32064552	31	0.1379
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	32067225	32385356	158	-0.6408
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	32385759	32414760	10	-0.0168
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	32418095	32798134	140	-0.6127
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	32805957	32905807	40	0.1095
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	32914644	35966297	1799	-0.6254
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	35971702	41292969	2926	0.3388
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	41293489	41989628	407	0.6769
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	41991427	43029343	690	0.3354
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	43033134	43062337	27	0.8562
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	43070067	45891815	1592	0.327
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	45897352	46277845	155	-0.4358
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	46277860	46289309	10	0.239
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	46293061	48631298	1417	-0.4306
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	48633518	48679889	36	0.3448
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	48680907	49380258	478	-0.4478
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	49380695	49380708	2	-4.0106
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	49380904	53286967	1748	-0.4334
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	53294490	53917443	407	0.3318
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	53917952	54062273	137	0.7575
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	54064469	59121624	3934	0.2821
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	59122871	59174129	40	0.7302
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	59185593	62114006	2066	0.2529
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	62114181	62118187	3	-0.6777
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	62119809	65551031	2587	0.2576
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	65556468	65582586	12	0.719
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	65583108	65584984	6	1.0292
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	65585799	72768498	4782	0.2401
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G06_667062	1	72768916	72811148	46	-1.4107
