Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	61735	62937	6	0.1245
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	72704	86341	9	-1.1267
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	98588	625470	19	0.0024
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	707099	6144965	2854	0.5829
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	6151944	6437061	112	0.8098
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	6439953	6445278	3	-0.4534
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	6449638	6691567	94	0.8213
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	6696878	8357221	1071	0.5637
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	8363248	9213177	467	0.0585
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	9214401	12757671	1836	0.4784
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	12761390	15857559	1797	0.0853
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	15860240	16015784	82	0.486
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	16018983	16080171	24	0.8537
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	16087824	16149343	49	0.5248
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	16149915	16153925	7	-1.7465
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	16154201	16165661	5	-0.3854
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	16167780	16273995	41	0.4925
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	16275081	17016880	321	0.0882
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	17017078	17045761	15	0.6737
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	17048196	17329637	113	0.2786
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	17330149	17374742	24	-0.0875
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	17378228	18232574	585	0.5111
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	18233159	19492787	990	0.052
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	19499054	21311526	1189	0.5253
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	21313856	21943820	324	0.8738
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	21947503	22170918	132	0.5585
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	22174518	24714411	1459	0.1434
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	24715828	25022055	174	0.5645
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	25022444	26984229	1023	0.1332
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	26997078	27341205	103	0.6423
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	27346789	27388384	22	0.9098
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	27398714	27817381	156	0.5528
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	27819044	27985573	72	0.924
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	27992454	28301682	149	0.5533
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	28305886	33065484	2535	0.1554
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	33065873	33280648	92	0.6007
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	33280932	34945039	1136	0.1884
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	34951421	37087304	1036	0.6615
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	37089450	44058281	4137	0.1669
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	44062827	44147348	62	0.6217
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	44149793	46687049	1278	0.1712
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	46690331	47036315	180	0.5974
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	47037558	51295272	2434	0.1976
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	51299597	51401438	43	0.4429
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	51409656	54874188	1877	0.1725
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	54881577	55145270	149	0.5942
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A03_628536	1	55148328	56647330	1172	0.1983
