Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	61735	82170	9	-0.8326
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	82315	603590	24	0.1929
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	625470	11927056	5988	-0.6202
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	11928714	11928830	2	-3.7255
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	11928895	12841928	481	-0.5882
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	12845863	12852748	2	-2.8523
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	12857863	12858053	2	-7.3808
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	12859292	13384168	52	-1.1741
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	13384254	72768418	36351	-0.5945
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	72768498	72811148	47	0.2272
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	72811904	74223744	842	-0.5648
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	74224180	74224730	2	-3.1928
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	74225534	85974030	7769	-0.5845
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	85979932	86003166	12	0.2909
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	86006009	89475255	2341	-0.5807
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	89477958	89478205	2	-2.908
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	89481524	96154717	4258	-0.5891
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	96154744	96162283	18	-1.2593
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	96164566	108766355	7749	-0.5761
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	108769302	108817179	2	-3.3669
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	108828957	110226004	695	-0.608
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	110226140	110242953	27	0.4103
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_G02_780954	1	110244998	111370372	828	-0.6258
