Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	61735	86341	15	-0.7512
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	98588	1213280	150	-0.0625
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	1213297	1217058	5	-1.0897
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	1218086	12839576	6349	-0.0218
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	12841928	12883096	29	-0.7246
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	12892309	13187370	17	-0.0058
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	13214448	13506877	26	-0.5843
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	13538311	16149915	1817	-0.0047
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	16153497	16153925	6	-2.3971
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	16154201	16155010	4	-1.0088
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	16165661	17029592	367	0.0078
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	17030245	17048405	13	-0.8943
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	17048479	24581338	4712	-0.0126
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	24581416	24581493	2	-2.0581
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	24582162	25571269	635	-0.0085
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	25574471	25662212	38	-0.5082
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	25663310	65429449	23962	-0.0027
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	65429466	65429974	3	-1.4111
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	65435063	72750353	4864	-0.0036
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	72756113	72763370	9	-0.9358
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	72768418	106019205	21078	-0.0041
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	106019236	106022375	16	-2.1776
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	106024055	110221727	2654	-0.0019
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	110224384	110225920	4	1.2697
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	110225965	110227515	11	0.245
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	110232974	110242953	18	1.658
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	110244998	112690211	1954	-0.0225
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	112690248	112697241	25	0.4706
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	112697376	120696009	5090	-0.004
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	120747707	120747946	2	-1.8765
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	120795414	152759678	3154	-0.0282
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	152761923	152768700	37	-0.437
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	152773905	169216937	11340	-0.0046
NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_G12_914238	1	169233974	169241766	7	1.1251
