Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	61735	603590	33	-0.0799
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	625470	24132305	13257	-0.5351
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	24134796	25583341	831	-0.1339
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	25593128	25662005	30	0.3948
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	25662212	26936259	609	-0.1196
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	26936816	26960556	8	-1.7757
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	26963409	27054829	21	-0.1629
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	27057364	27068202	3	-1.7338
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	27089268	35091674	4322	-0.112
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	35102654	35104491	20	-2.4739
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	35114268	53610852	10091	-0.1159
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	53613907	57069614	2510	0.218
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	57069895	57802421	634	-0.1416
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	57802603	57802973	4	-3.1344
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	57805550	69279047	8470	-0.1366
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	69279955	72750353	2116	0.3007
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	72756113	72763370	9	-0.6359
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	72768418	72811148	48	0.8878
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	72811904	86121096	8709	0.3508
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	86121785	86226926	58	0.6245
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	86231115	86256919	26	0.2124
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	86259766	87248050	632	0.5899
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	87252558	87261446	7	-0.6411
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	87266169	99242043	7539	0.5085
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	99242320	104155643	3070	0.0856
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	104155731	104268222	35	-0.2673
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	104303403	106013376	916	0.0934
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	106019205	106022375	17	1.6077
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	106024055	106028674	6	0.3458
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	106029078	106090920	44	0.6621
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	106090935	108853270	1913	0.1026
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	108853284	108859314	11	0.5156
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	108860573	112696087	2661	0.1341
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	112696193	112697376	22	0.5974
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	112697390	152555706	8020	0.1789
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	152555767	152586278	31	-1.3425
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	152586540	153560131	785	0.1935
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	153565687	153595204	11	0.8241
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	153598280	194121640	27246	0.5451
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	194122217	210071062	10548	0.8483
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	210081613	210086552	4	1.7559
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	210093494	219871276	6866	0.8538
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	219871405	221578474	1099	0.0679
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	221580058	221580405	2	-1.8628
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	221580870	223019903	965	0.0701
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	223020504	223023769	4	0.7889
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	223026717	223214455	114	0.0258
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	223217060	232321761	5846	0.3531
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	232323117	245117123	9594	-0.2218
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	245123217	245334533	135	0.1253
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	1	245346971	249224388	2442	-0.2009
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	12784	11562211	8700	0.1468
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	11562669	24607071	9230	-0.1431
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	24609465	25834848	640	-0.5495
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	25841454	26079458	106	-1.0696
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	26082650	26330308	100	-0.1303
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	26330976	34520473	5207	0.3918
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	34523978	34525580	2	-1.9603
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	34525967	34652871	84	0.3408
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	34659936	34737163	58	0.6801
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	34737556	43155943	6271	0.3761
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	43161180	43184807	16	-0.7903
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	43185279	43185318	2	-3.2041
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	43188963	44241781	703	-0.6914
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	44242033	45764654	1099	0.3847
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	45768934	46210384	389	-0.715
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	46211658	46211935	2	-2.1861
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	46217670	47128034	789	-0.6745
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	47128403	52754468	3744	0.3479
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	52754480	52781542	39	-1.9418
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	52787949	61295122	5913	0.2976
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	61295473	73991736	7685	-0.1327
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	74003611	76049781	1415	0.2032
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	76055005	86028604	6344	-0.1462
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C08_802358	2	86029832	86169989	91	0.1965
