Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	61735	6803747	3171	0.0035
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	6808354	6810788	5	-1.9369
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	6816689	10246654	1948	0.0124
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	10249962	10249963	2	-2.1963
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	10249977	10371838	84	-0.0513
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	10374270	10377524	6	-1.0719
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	10377625	12838744	1311	0.0026
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	12839576	13717824	90	-0.2314
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	13724101	16816090	2099	0.0056
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	16819633	17225225	127	-0.3923
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	17225367	17235684	4	0.954
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	17235698	17291894	53	-0.4896
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	17295212	21751244	3013	0.0099
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	21759795	21760125	2	-1.5596
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	21769887	25583341	2243	0.01
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	25593128	25611452	14	-0.7327
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	25616296	55491615	16369	0.008
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	55495744	55496176	5	-0.9973
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	55497302	60977302	4249	0.0258
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	60983201	60983782	4	-0.9935
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	60985386	72750353	8228	0.014
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	72756113	72763370	9	-0.7845
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	72768418	72811076	46	0.4041
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	72811133	102686703	19356	0.0146
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	102687572	102732441	29	0.4453
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	102732690	104158309	709	0.0293
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	104159347	104239986	18	-0.5998
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	104256880	110227396	3614	0.021
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	110227500	110240178	19	1.6524
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	110242953	111395407	889	0.0162
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	111396068	111400165	2	-1.5068
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	111400793	112690326	1066	0.0079
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	112695965	112697390	25	-1.7969
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	112705956	150741605	7028	-0.0074
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	150745012	150748664	4	-1.0219
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	150748681	152555176	1003	-0.0119
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	152555527	152590962	41	0.3188
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	152591024	196711187	29760	0.0135
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	196714822	196799699	82	-0.4514
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	196799714	243123937	32195	0.0098
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	243124511	243282484	31	-0.4131
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	1	243293127	249224388	3751	0.0073
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	12784	14706056	11048	0.0171
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	14706269	14710021	9	-0.9663
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	14710092	26233485	7704	0.0056
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	26238221	26239283	2	-1.4355
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	26239580	36332223	6546	0.0087
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	36332258	36336619	10	0.8004
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	36336740	52754468	11882	0.019
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	52754480	52781542	39	-2.351
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	52787949	80088493	17832	0.0163
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	80088940	80089819	7	-0.7518
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	80091474	86937687	4104	0.0143
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	86953070	86971745	4	-1.603
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	86972846	90242268	1079	-0.0471
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	90242470	92248108	137	-0.3128
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	92256898	97784139	851	-0.0111
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	97790279	98241192	93	-0.3012
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	98244174	111097151	7780	0.0105
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	111099633	111118721	3	-1.2613
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	111144826	114362015	1632	0.0092
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	114362414	114362416	2	-1.8789
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	114380821	146864443	20108	0.0153
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	146864457	146880424	34	0.6914
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	146881053	152117780	3044	0.0072
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	152118479	152130914	2	1.2805
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	152131328	154486904	1583	0.0122
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	154487720	154492160	3	-1.0394
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	154493138	157359526	1620	0.0344
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	157360968	157363216	2	2.184
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	157364028	184071581	16599	0.0084
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	184074403	184089724	13	-0.7733
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	184093998	208354955	14122	0.0144
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	208355178	208359519	17	-0.6183
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	208359560	233242399	15913	0.0095
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	233242761	233243660	2	-1.9096
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	2	233249147	243089456	6227	0.0074
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	60345	830426	651	0.072
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	832589	839566	4	-1.1676
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	842114	41979473	29687	0.0204
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	41981490	42187789	107	-0.2702
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	42188409	65188453	14946	0.0174
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	65189235	65210452	53	-0.533
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	65216349	68746446	2426	0.0191
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	68746708	68746823	4	-1.1135
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	68746840	75462816	4902	0.0205
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	75462896	75842878	114	-0.3602
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	75843507	85551446	5449	0.0305
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	85551820	85614167	31	0.3377
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	85614181	98944458	5467	0.0151
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	98944476	98949314	36	-0.5162
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	98949421	107033464	4782	0.0205
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	107035798	107036184	2	-2.3803
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	107039461	125407689	11480	0.0084
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	125424472	125458762	16	-0.5572
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	125462329	136391195	6685	0.0011
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	136391364	136392224	2	2.7691
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	136395541	137033060	345	-0.0167
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	137033260	137033263	3	1.2025
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	137033422	162532950	15798	0.0159
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	162534730	162540490	6	-1.4933
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	162545716	192873704	19243	0.0182
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	192873807	192882903	22	0.9663
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	192886435	195430899	1501	-1e-04
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	195433770	195464315	25	-0.5678
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	195464507	197869571	1174	-0.0471
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	3	197895985	197896118	4	1.1909
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	12281	116981	92	-0.0667
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	121107	121115	2	-1.865
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	121562	3903714	1554	-0.0061
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	3907714	4176614	75	-0.4403
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	4176629	9404946	3496	0.0164
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	9405040	9417635	10	-0.7081
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	9417720	9456977	23	-0.1079
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	9461230	9479345	9	-1.4358
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	9486087	9619137	40	-0.3597
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	9626413	10210390	504	0.0074
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	10223416	10234266	30	1.634
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	10234608	10272788	48	0.0257
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	10273043	10273549	3	-0.7377
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	10273579	10390715	125	0.0399
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	10392354	10400668	16	-0.5694
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	10402718	32394074	15458	0.0141
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	32400551	32401513	5	1.1679
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	32405314	34786500	1349	0.0236
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	34786955	34829872	38	0.3642
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	34829913	43084372	5492	0.0204
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	43086810	43086964	2	3.232
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	43088302	69344612	14005	0.0191
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	69360488	69505115	71	0.5146
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	69506334	69537152	5	-1.021
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	69540025	70127652	323	0.0517
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	70128412	70231799	52	-0.5977
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	70232022	86101088	9812	0.0154
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	86101582	86105584	7	-1.1448
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	86105617	156968088	42552	0.016
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	156968180	156973205	14	-0.6912
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	156974697	189221258	21138	0.0173
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	189221360	189221375	2	-2.2562
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	189221424	190777793	1112	0.0113
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	4	190778092	191027923	67	-0.3169
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	5	15532	1600948	751	-0.0241
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	5	1601404	1602680	2	-1.5374
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	5	1606113	12815780	9479	0.0212
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	5	12815865	12826650	10	-1.176
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	5	12833857	20425142	4924	0.0142
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	5	20425620	20439357	17	0.7594
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	5	20439795	27524452	4165	0.0218
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	5	27525390	27526020	10	-0.6204
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	5	27527479	68820109	23883	0.0154
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	5	68824217	70660751	33	-0.4316
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	5	70661208	137805120	41733	0.0187
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A06_741506	5	137807961	137816468	18	-0.5147
