Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	61735	229158	21	0.254
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	229173	16820619	8695	-0.1703
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	16828502	17262247	174	0.0702
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	17276241	17593406	237	-0.1737
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	17594896	17620009	22	0.1655
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	17622654	25583341	5010	-0.1644
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	25593128	25662005	30	-1.6664
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	25662212	72750353	28838	-0.1497
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	72756113	72763370	9	-2.7364
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	72768418	72811148	48	1.4799
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	72811904	104225006	20094	-0.1352
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	104225132	104308162	25	-0.5433
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	104308374	106019205	913	-0.1292
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	106019236	106022375	16	-1.8747
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	106024055	110221727	2656	-0.1362
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	110224384	110227515	15	-0.5318
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	110232974	110240178	17	-1.3308
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	110242953	112696087	1960	-0.1548
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	112696193	112705956	24	0.2611
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	112706060	144013594	5193	-0.1442
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	144013689	144549929	43	0.1746
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	144555185	144868360	11	-0.2594
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	144869084	145406371	225	0.1823
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	145406799	149436842	1071	0.4466
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	149521840	149692388	20	-0.1485
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	149701234	152555527	1478	0.4287
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	152555706	152586540	33	-1.626
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	152586576	152759678	172	0.4302
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	152761923	152768570	36	0.1573
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	152768700	152991060	169	0.4623
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	152995724	153000714	4	-0.3877
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	153000978	153127880	84	0.4578
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	153128432	153128489	2	1.6636
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	153128854	158959575	3430	0.4404
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	158962039	158962796	2	-0.6755
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	158966864	161502894	1590	0.438
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	161508791	161648237	51	0.0224
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	161648621	169216937	6013	0.4506
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	169233974	169241766	7	1.1247
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	169242401	179371395	6657	0.4621
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	179372542	179375197	2	-1.0756
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	179381302	182082972	1831	0.4729
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	182084976	182087336	6	-0.4601
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	182087977	245626920	43538	0.4624
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	245627601	245646904	13	-0.2444
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	245649651	248605752	1995	0.4602
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	248610056	248610507	2	-1.5111
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	1	248621163	249224388	213	0.4347
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	2	12784	27441302	19363	-0.1394
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	2	27441397	27441500	2	-2.1301
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	2	27441904	30172831	1767	-0.1414
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	2	30172861	30173061	5	0.7661
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B03_734686	2	30174941	34691069	2963	-0.1271
