Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	61735	6277482	2914	-0.0341
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	6278414	6281377	2	-2.1989
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	6281667	72768418	40047	0.0134
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	72768498	72811133	46	-1.2318
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	72811148	106019205	21020	0.0176
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	106019236	106022375	16	0.6045
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	106024055	110232974	2668	0.0158
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	110233037	110240178	16	-0.9336
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	110242953	112690326	1955	0.0254
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	112695965	112697188	20	-0.5567
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	112697198	120109260	4726	0.0197
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	120110074	120129565	43	-0.2624
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	120133256	144045248	441	0.0016
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	144045281	144901750	74	-0.2781
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	144901860	189648157	27775	0.0191
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	189648483	189648527	2	-2.2836
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	189652047	196758159	4786	0.0213
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	196759274	196812507	55	-0.2257
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	196812530	196885685	59	-0.8802
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	196886709	210071062	8747	0.0136
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	210081613	210083984	3	-2.2173
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	210086552	223199142	9061	0.0175
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	223204001	223212332	4	-1.4847
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	223213967	223644406	292	0.0318
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	223644439	223645256	2	-1.953
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	1	223645361	249224388	17741	0.0171
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	12784	1290899	838	-0.0205
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	1291096	1293671	3	-1.3909
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	1294039	34691069	23224	0.0119
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	34699315	34737057	46	-0.5243
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	34737163	38053500	2533	0.0209
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	38053601	38059087	13	-0.4853
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	38059208	38954495	652	0.0379
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	38955866	38972281	8	0.652
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	38972826	40396253	916	0.024
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	40396296	40397251	2	-1.6003
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	40400127	48851152	6110	0.0232
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	48853972	48855934	2	-2.2734
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	48861904	49533042	508	0.0222
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	49535768	49541190	4	-2.3908
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	49545041	98118212	26383	0.0147
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	98140747	98166878	10	-0.8498
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	98168606	146865079	29506	0.0131
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	146865094	146866934	18	0.7929
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	146877806	194687745	28872	0.02
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	194690304	194693798	2	1.7638
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	194702314	228237938	21021	0.0234
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	228240198	228254272	7	0.9252
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	228258857	228590027	215	0.0117
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	228602577	228603460	3	-1.0096
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	2	228603799	243089456	8969	0.0162
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	3	60345	4159724	3744	0.048
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	3	4162177	4195682	23	-0.8491
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	3	4196939	6317359	1808	0.0185
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	3	6319263	6335472	19	0.609
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	3	6338436	6646543	242	0.0271
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	3	6651128	6653332	23	-0.8118
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	3	6655078	13555017	5283	0.0236
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	3	13555297	13555665	2	-1.66
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	3	13555876	23143280	6265	0.0269
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	3	23143461	23143518	2	-1.9698
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	3	23144691	37977417	10238	0.0299
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	3	37982108	37986928	18	-0.7411
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	3	37987106	68746164	20130	0.0245
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976	3	68746259	68747413	14	-1.4008
