Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	61735	723317	38	0.2864
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	728608	1662938	199	-0.1343
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	1663336	1663396	2	2.2011
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	1663831	5374183	2065	-0.1658
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	5374684	5380521	2	1.5421
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	5380602	12858053	4225	-0.1569
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	12859292	12862337	10	0.4599
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	12867090	12867966	11	-0.0573
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	12873385	13185738	20	0.5271
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	13187370	16149915	1844	-0.1398
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	16153497	16155010	10	0.8601
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	16165661	35102654	10739	-0.1551
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	35102670	35104491	19	-1.0402
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	35114268	37773050	1416	-0.1458
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	37773586	37776298	5	-1.336
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	37777759	72768916	22453	-0.176
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	72768936	72802504	30	-1.2799
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B11_628594	1	72804578	106013376	21055	-0.2172
