Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	61735	98602	17	-0.6015
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	228706	16926511	8704	0.0064
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	16931329	17262232	152	-0.329
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	17262247	35091674	10250	0.0034
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	35102654	35104479	19	-0.513
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	35104491	58482943	13830	6e-04
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	58483054	58483220	3	-1.6904
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	58484464	72763370	9999	0.0031
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	72768418	72812440	50	0.36
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	72816755	89475255	10969	0.0066
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	89477958	89478205	2	-1.5755
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	89481524	95284778	3657	-0.0012
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	95287080	95287687	2	-2.4151
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	95288808	104221531	5439	0.0062
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	104221631	104239689	11	0.5706
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	104239986	110233053	3618	0.0125
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	110233118	110240178	14	-1.1402
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	110242953	152756774	10211	-0.0012
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	152756806	152768700	40	-0.3338
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	152773905	196714873	29511	0.0049
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	196727850	196732086	4	1.2386
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	196738623	196801987	87	0.363
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	1	196802002	249224388	35887	0.0055
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	2	12784	28650177	19896	0.0063
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	2	28651505	28652529	3	-1.9234
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	2	28653727	34691069	4164	0.0058
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	2	34699315	34737163	47	0.5227
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	2	34737556	36332258	1153	-0.0105
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	2	36335595	36336861	12	-0.6577
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	2	36336962	52754728	11861	0.0085
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	2	52754865	52781374	29	0.6427
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	2	52781397	130793856	43957	0.0062
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	2	130793883	131029463	56	-0.3251
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_D02_777678	2	131036000	164636852	20141	9e-04
