Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	61735	98588	16	-0.8691
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	98602	235728	10	0.1031
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	235938	603590	7	-0.861
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	625470	17203497	8801	0.0179
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	17209603	17262247	59	0.4708
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	17276241	25582843	5267	0.0154
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	25583291	25646986	30	0.4899
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	25661501	58834609	19114	0.017
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	58834962	58838050	3	-2.693
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	58838171	62436943	2597	0.0259
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	62439231	62450535	37	-0.6484
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	62454672	104103230	27214	0.0164
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	104109238	104159384	27	0.5982
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	104163499	106013376	947	-0.0064
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	106019205	106022375	17	-1.4757
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	106024055	110227515	2670	0.0141
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	110232974	110242953	18	0.6435
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	110244998	111354502	818	0.0013
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	111359735	111359935	5	-0.8838
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	111360545	111374093	12	0.1023
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	111375566	111388184	41	-0.7011
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	111388226	112690326	1078	0.0093
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	112695965	112697390	25	0.5257
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	112705956	144081043	5228	0.0194
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	144471986	144472001	2	2.0528
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	144527147	152555527	2812	0.0154
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924	1	152555706	152586594	35	-1.5981
