Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	61735	229619	23	-0.6036
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	229677	16149288	8393	-0.0307
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	16149343	16154966	11	0.7652
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	16155010	21742869	3488	-0.0234
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	21743013	21759795	6	-0.899
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	21760125	25562087	2236	-0.0298
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	25570830	25662212	40	0.4243
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	25663310	30741496	2406	0.0448
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	30741656	30745210	3	1.5974
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	30747576	46223086	8754	0.1525
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	46226349	46574457	190	0.5268
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	46576707	46901546	133	0.1778
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	46902399	46902461	2	-1.3806
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	46905067	49914123	1903	0.1616
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	49914932	49997674	27	-0.4569
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	49997863	72750353	15427	0.0667
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	72756113	72763370	9	-0.7621
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	72768418	72789611	23	0.5986
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	72794304	104225568	20125	-0.034
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	104239689	104260032	10	-0.6434
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	104260239	105622533	704	-0.0454
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	105622940	105623553	2	1.5444
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	105626818	110234410	2914	-0.0249
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	110234555	110246126	11	-0.6468
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	110246130	112690326	1955	-0.0241
PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_H03_844806	1	112695965	112697213	22	-1.5755
