Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	61735	404171	30	0.1929
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	534551	17017078	8757	-0.2544
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	17017530	17276241	104	-0.6615
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	17277940	25583341	5262	-0.247
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	25593128	25663310	32	-0.7086
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	25663344	76050844	30818	-0.2626
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	76054763	76054854	2	-2.3999
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	76059509	103545678	17962	-0.2916
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	103550863	104103057	162	-0.0115
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	104103230	104303639	58	-0.3239
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	104307243	108900763	2945	-0.0319
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	108901366	108986181	14	-0.5146
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	108986197	110227515	642	-0.0107
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	110232974	110244998	19	0.3985
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	110246126	121482979	7166	0.0056
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	144007049	145382124	277	0.2911
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	145390114	149243072	1029	0.4999
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	149243241	149246030	7	1.7013
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	149246275	149254920	12	0.8878
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	149256691	149521846	34	0.4566
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	149545372	149664041	12	-0.2341
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	149676317	152759678	1687	0.5094
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	152761923	152767963	31	1.2006
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	152768259	161508875	5284	0.5162
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	161517939	161618691	25	0.0387
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	161618820	161619058	7	0.7472
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	161621885	161638513	16	0.0317
TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_D10_1151394	1	161648237	174796405	9549	0.5123
