Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	61735	875032	77	0.293
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	884772	12892508	6482	0.0125
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	12909977	12927107	7	1.0389
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	12927856	13444682	27	0.0136
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	13444908	13468022	4	-1.209
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	13471704	17005978	2174	-0.0137
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	17011450	17048479	35	0.3989
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	17056457	17190004	24	-0.3974
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	17190862	25545597	5316	0.0027
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	25549737	25662005	46	0.3624
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	25662212	72768916	28840	0.0027
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	72768936	72811148	45	-1.1335
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	72811904	104157336	20070	-0.0041
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	104158309	104268222	30	0.3938
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	104303403	110227396	3602	-6e-04
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	110227500	110253130	39	0.6603
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	110256624	148662729	8314	-0.0043
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	148662763	149521840	189	-0.5306
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	149521846	149644969	10	0.7169
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	149645033	149691746	8	0.082
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	149692388	149758041	15	-0.476
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	149769972	152184149	1217	0.0024
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	152184534	152200807	3	-0.9428
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	152200849	152555527	243	-0.0138
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	152555706	152586594	35	-1.3842
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	152590494	152759678	170	-0.0028
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	152761923	152773905	38	0.2886
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	152776755	168083007	10409	-6e-04
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	168089111	168091414	8	-0.9813
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	168094709	174796405	4450	-0.0017
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	174796556	174801840	16	-0.6901
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344	1	174801854	243048740	46822	8e-04
