Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	61735	5873402	2680	-0.0395
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	5879132	5879772	2	-1.6017
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	5880288	17017078	6087	-0.0164
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	17017530	17048479	17	-0.9442
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	17056457	17236220	46	-0.1288
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	17236270	17262232	39	-0.5804
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	17262247	25583341	5267	-0.0116
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	25593128	25662005	30	-1.1908
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	25662212	110224427	52522	-0.0103
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	110225642	110242953	31	-0.9102
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	110244998	111377368	837	-0.0097
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	111377565	111392067	39	-0.5822
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	111393297	112312154	711	-0.0132
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	112312211	112312551	3	0.9866
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	112313078	120527395	5439	-0.011
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	120540804	120633448	15	-0.597
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	120637839	146706116	717	0.0608
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	146707543	146708167	6	-0.8173
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	146709877	152555527	2235	0.1212
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	152555706	152586540	33	0.9377
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	152586576	196714873	29708	0.1282
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	196727850	196801655	87	0.5073
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	1	196801784	249224388	35914	0.136
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G12_747916	2	12784	3201417	2249	-0.0313
