Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	61735	17190004	8823	0.0051
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	17190862	17262247	62	-0.6589
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	17276241	22293825	3337	0.0226
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	22296307	22338125	19	-1.1224
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	22342389	35102654	6908	0.019
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	35102670	35104491	19	-0.8159
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	35114268	72763370	23858	0.024
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	72768418	72811148	48	-1.602
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	72811904	110232974	23727	0.0299
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	110233037	110240178	16	-1.7087
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	110242953	149242663	8473	0.0218
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	149242725	149254920	21	0.7007
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	149256691	152555767	1531	0.0104
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	152555795	152586117	28	0.643
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	152586238	152756774	173	-0.0175
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	152756806	152768359	38	-0.4789
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	152768570	161496900	5268	0.0326
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	161497320	161648237	55	-0.3939
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	161648621	196791043	24295	0.0256
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	196798565	196815791	26	0.5319
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	196816730	220945290	16377	0.0276
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	220945389	220951135	4	-1.9206
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	1	220953310	249224388	19559	0.0264
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	2	12784	65818446	45561	0.0236
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	2	65824380	65824898	3	-2.3327
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	2	65826998	75382710	6164	0.0131
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	2	75386601	75386925	6	-1.3583
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	2	75389245	106880095	15167	0.0195
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	2	106880713	106885357	11	-2.4867
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	2	106887255	123476418	9554	0.0226
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	2	123477014	123482241	10	-1.2593
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	2	123483653	146864443	14394	0.0292
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B10_628262	2	146864457	146866934	21	0.6965
