Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	61735	2940617	636	-0.0943
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	2947716	2947909	2	-1.9114
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	2948020	4891603	1235	-0.0068
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	4894138	4894144	2	-2.7533
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	4894950	12841928	4649	0.0164
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	12845863	13377047	54	-0.7241
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	13384168	16153497	1837	0.0056
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	16153536	16154201	6	0.8626
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	16154239	16844932	301	0.001
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	16846035	17011669	52	0.3423
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	17011778	17082412	34	-0.609
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	17082591	17190004	21	0.3063
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	17190862	17262247	62	-0.5981
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	17276241	35091674	10263	0.012
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	35102654	35103036	6	-3.0294
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	35103142	35103510	4	-0.4553
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	35103827	35104491	10	-4.8631
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	35114268	52390354	9455	0.0162
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	52392449	52393532	2	-1.6524
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	52395861	53551880	596	0.0268
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	53554305	53676448	98	0.6443
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	53677309	62119809	6333	0.0129
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	62119978	62120564	2	-1.5425
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	62120581	72768916	7378	0.0172
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	72768936	72811148	45	-1.3475
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	72811904	110227515	23726	0.0207
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	110232974	110235032	12	-1.0753
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	110236932	148662266	8340	0.0223
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	148662334	148893345	15	0.7004
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	148906617	149229843	124	0.0564
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	149242663	149243523	8	-0.4938
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	149245189	149521846	48	0.0492
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	149545372	149578722	5	0.8854
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	149617451	152555527	1492	0.0116
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	152555706	152586594	35	-1.9911
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	152590494	158866573	3831	0.0156
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	158868501	158869759	2	3.0361
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	158874818	161523880	1658	0.0172
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	161523982	161638201	42	0.4692
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	161638480	169216937	6014	0.0222
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	169233974	169241766	7	-4.2846
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	169242401	188659420	12836	0.0169
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	188664700	188671055	3	-1.5028
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	188671432	196802002	5452	0.0322
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	196802072	196905159	69	-0.9478
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	1	196909645	249224388	35885	0.0192
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	12784	4203580	2989	-0.0228
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	4205687	4224019	43	-0.5465
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	4230062	8127916	3269	0.0122
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	8129338	8136044	7	-1.0243
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	8136618	21241505	9539	0.015
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	21241744	21244797	3	-1.1498
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	21251040	34699315	8264	0.0193
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	34701394	34737163	46	-0.4376
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	34737556	35975973	876	0.0345
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	35977790	35987916	6	-1.6287
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	35987947	52754561	12165	0.0217
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	52754728	52754881	3	-2.7675
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	52758753	87172727	22053	0.0183
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	87250496	87302107	8	-0.4307
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	87306948	87309263	2	-2.0792
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	87309834	98118212	2058	0.0152
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	98140747	98161710	8	-1.1216
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	98162189	106386865	5150	0.0125
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	106388912	106391338	6	-1.8346
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	106391913	123472119	9981	0.0212
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	123472179	123482241	13	-0.7205
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	123483653	129638078	3892	0.0172
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	129638478	129640297	14	-0.7171
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	129640315	130793856	879	0.0076
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	130793883	130923967	27	-0.3982
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	130927446	132548521	572	-0.0168
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	132560272	132560381	2	-2.0062
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	132571593	154479035	13659	0.0214
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	154479295	154479926	2	1.6314
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	154481164	164636852	5966	0.0164
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	164643488	164645126	5	-1.1511
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	164646642	233302941	42382	0.023
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	233306836	233311925	3	-1.4874
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	2	233318078	243089456	6185	0.0113
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	60345	188950	125	0.0123
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	197737	198464	4	-0.9328
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	199423	16240556	12818	0.028
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	16240629	16241179	5	-3.5052
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	16241325	25396077	6143	0.028
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	25396760	25396865	2	-1.8694
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	25396965	65188453	26295	0.02
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	65189235	65199568	30	-0.9006
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	65199702	65206944	14	-0.3501
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	65207331	65210452	9	-0.9805
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	65216349	146474143	47689	0.0218
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	146474323	146476483	3	-2.0829
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	146477052	162508268	9834	0.0258
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	162512657	162623842	65	0.6507
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	162623853	162714517	77	0.0681
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	162717727	162719562	2	-3.6205
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	162726159	191280103	17995	0.0285
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	191284625	191284700	3	-1.5906
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	191285057	192878045	1130	0.0445
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	192878195	192882903	17	-1.2342
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	3	192886435	197896118	2706	0.0215
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	12281	5310303	2608	-0.0074
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	5310421	5323295	7	-0.8463
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	5324199	10210390	3188	0.0075
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	10223416	10235182	34	-0.9457
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	10235268	25556172	11213	0.0197
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	25556580	25578269	19	0.646
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	25585383	34779054	5769	0.0254
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	34786500	34824183	37	0.5763
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	34824725	69360488	19501	0.0262
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	69360489	69470134	58	-0.3353
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	69472878	115173700	27767	0.0242
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	115175323	115184380	29	0.6548
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	115184390	122281973	4346	0.0237
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	122282468	122285135	28	-0.8116
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	122291131	138092195	8880	0.0318
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	138092239	138094958	16	-0.7024
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	138094972	138182433	83	0.0707
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	138182481	138190884	49	-0.6747
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	138191970	171275890	20667	0.0219
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	171276836	171287094	2	-1.5026
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	171287250	172369346	678	0.0231
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	172374884	172377724	11	-0.787
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	172377776	172989224	401	0.0273
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	172989300	172995979	10	0.862
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	172996893	173425227	234	0.0435
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	173428342	173428643	4	-1.0227
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	4	173441132	191027923	11889	0.0249
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	15532	12791720	10227	0.0025
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	12800889	12892132	26	0.5193
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	12894148	17608256	3180	0.0256
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	17625374	17642551	10	-1.2107
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	17655138	46191884	17353	0.0272
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	46195883	46199435	4	-1.4112
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	46209299	46251306	13	-0.0124
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	46271008	46273502	8	0.9143
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	46278212	57326027	5081	0.0221
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	57326163	57333293	29	-0.6717
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	57333515	64699702	4598	0.0323
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	64699789	64703562	2	-1.4272
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	64707956	68846303	2706	0.0235
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	68867294	69118135	5	-1.2783
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	69233427	117386617	28980	0.026
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	117388422	117389085	11	-0.6545
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	5	117404340	180790320	40915	0.0163
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	149661	254283	101	-0.0339
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	257353	379015	98	-0.4964
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	380821	29837072	21545	0.0246
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	29837187	29874642	22	0.7273
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	29874709	32454275	1187	0.0039
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	32454523	32501299	15	1.1602
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	32508476	33937999	860	0.0155
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	33938743	33942705	7	-1.1393
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	33944586	53931067	12926	0.0221
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	53931084	53931855	8	-1.1243
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	53935348	66394090	5054	0.0336
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	66399482	66403852	24	-0.6686
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	66407127	67008286	383	0.0036
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	67009023	67048629	55	-0.7553
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	67049406	77436159	6781	0.0286
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	77436532	77452757	22	0.438
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	77461073	78962889	979	0.02
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	78969065	79045902	120	0.4741
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	6	79046661	171051005	59795	0.0249
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	7	43355	54386505	38574	0.0238
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	7	54386509	54386517	5	1.4028
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	7	54393488	153147638	55831	0.0228
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	7	153147645	153147712	2	-2.8536
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	7	153147715	154393171	867	-0.0123
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	7	154396107	154397079	2	1.552
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	7	154399613	156385674	1611	0.0092
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	7	156391790	156394179	4	-1.1429
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	7	156394908	159127004	1628	-0.0132
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C10_698042	8	31254	595875	335	-0.0395
