Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	61735	356542	29	0.0416
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	404171	16819633	8648	-0.2592
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	16820619	17283075	179	-0.4981
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	17284920	30738355	7666	-0.2574
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	30738432	30745210	10	-1.277
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	30747576	72768498	26286	-0.2285
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	72768916	72811148	46	1.197
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	72811904	76050844	1912	-0.2459
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	76054763	76054854	2	-2.7585
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	76059509	104680649	18235	-0.2206
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	104681348	106019205	717	0.0661
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	106019236	106022375	16	0.7161
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	106024055	108626025	1842	0.0576
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	108630708	108633013	2	-1.0528
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	108634192	108729759	78	0.0561
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	108734235	108734877	2	-3.2334
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	108737496	108739171	3	-0.5562
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	108740613	110224384	706	0.0427
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	110224427	110227515	14	-0.455
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	110232974	110242953	18	-1.3604
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	110244998	112690326	1948	0.0724
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_D09_799858	1	112695965	112697241	23	-1.4314
