Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	61735	229619	23	0.7618
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	229677	17048405	8766	0.0149
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	17048479	17182437	24	0.5918
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	17190004	17190862	2	-0.1335
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	17195155	17283075	65	-0.3552
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	17284920	17525291	176	-0.0302
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	17526624	17526654	2	-1.4916
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	17529311	25583341	5078	0.0152
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	25593128	25646946	27	-1.4056
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	25646986	35091594	4962	0.0066
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	35091638	35104491	22	-0.5474
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	35114268	72768916	23831	0.005
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	72768936	72811148	45	-1.0191
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	72811904	106013376	20997	0.0073
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	106019205	106022375	17	0.5958
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	106024055	110224384	2654	0.0062
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A09_777722	1	110224427	110242953	32	0.9888
