Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	61735	72768916	43063	0.0085
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	72768936	72811148	45	-1.4924
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	72811904	73881181	644	0.0231
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	73893264	74139105	153	0.625
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	74141838	83740137	6268	0.0089
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	83740524	83740658	2	-1.1693
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	83741510	83829022	43	-0.0292
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	83829357	83829980	4	-1.2273
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	83833922	83885493	27	-0.041
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	83886390	83889370	3	-1.1715
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	83891295	104112887	12932	0.0086
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	104113158	104159384	24	0.5183
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	104163499	106019483	952	0.0208
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	106021204	106024055	13	-0.4211
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	106024070	110221727	2656	0.0123
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	110224384	110227515	15	0.3943
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	110232974	110240178	17	1.0703
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	110242953	149024808	8366	0.0108
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	149036524	149256691	133	-0.8028
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	149259416	149436842	31	-0.3289
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	149521840	152552461	1493	0.0093
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	152552491	152555527	6	-0.3282
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	152555706	152586594	35	-2.2664
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	152590494	152762257	177	0.0079
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	152762285	152768700	31	0.6177
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	152773905	184198012	21329	0.0084
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	184205173	184210865	8	-1.2261
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	184214639	189551970	3408	0.0107
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	189552474	189552871	4	-0.6528
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	189554067	189648157	73	-0.0169
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	189648483	189648527	2	-2.0996
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	189652047	196732086	4750	0.0121
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	196738623	196757141	28	-0.6758
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	196757805	196823317	66	-0.2543
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	1	196823613	249224388	35971	0.0074
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	2	12784	14363663	10786	-0.0048
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	2	14363904	14363994	3	-1.2091
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	2	14364032	34520473	13241	0.0023
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	2	34523978	34525580	2	1.2407
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	2	34525967	34710825	106	-0.0167
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	2	34710861	34738032	38	-0.2923
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	2	34740639	52754468	13050	0.0051
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	2	52754480	52781522	38	0.4778
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	2	52781542	67154656	9336	0.0027
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	2	67157160	67158316	2	-1.5015
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	2	67159055	75381677	5162	0.0039
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	2	75381700	75381796	4	-1.5246
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	2	75381837	76844466	1066	-0.001
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124	2	76845173	76845426	5	-0.806
