Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	61735	8704023	4315	0.0135
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	8704059	8712280	7	-1.1985
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	8718911	65369286	33753	0.0189
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	65369964	65371656	3	-2.9437
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	65372034	72768916	4975	0.0212
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	72768936	72811148	45	-1.0213
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	72811904	89475255	10983	0.0199
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	89477958	89478205	2	-2.3352
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	89481524	104157336	9103	0.0109
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	104158309	104163499	4	-2.3066
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	104163787	104307258	31	-0.4388
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	104307696	106019205	914	0.0302
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	106019236	106022375	16	-1.464
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	106024055	152757690	12909	0.0148
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	152759678	152778576	44	0.4812
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	152778817	169216937	11342	0.021
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	169233974	169241766	7	-2.1565
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	169242401	174796266	3527	0.015
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	174796405	174801737	16	-0.7432
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	174801840	248709670	50546	0.0216
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	248713868	248797213	38	-0.5917
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	1	248805339	249224388	144	0.047
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	2	12784	34701394	24124	0.0072
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	2	34701583	34737163	45	-1.5597
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	2	34737556	52741737	13043	0.0129
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A07_780914	2	52754468	52781522	39	0.4563
