Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	61735	235938	27	0.2065
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	356443	356542	2	1.902
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	404171	16803776	8664	0.0074
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	16804341	17087292	104	0.3556
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	17089349	25415682	5223	0.0049
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	25416761	25424322	4	-0.8704
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	25424889	25583341	118	0.0457
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	25593128	25646946	27	-1.7567
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	25646986	112695965	54538	8e-04
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	112696087	112697390	24	-2.3223
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	112705956	149024808	6367	0.0056
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	149036524	149256691	133	-0.6728
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	149259416	152575461	1553	-0.0018
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	152579449	152579468	2	-1.4129
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	152579621	152756774	177	0.0085
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	152756806	152778443	43	-0.6574
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	152778526	174796405	14842	0.0018
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	174796556	174801854	17	-0.8217
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	174801872	194448234	13195	-0.002
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A06_1320364	1	194451411	194455018	2	-2.4471
