Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	61735	875032	77	-0.0068
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	884772	888659	3	-1.0011
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	901111	16819633	8640	0.0163
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	16820619	17262247	175	-0.3778
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	17276241	25583291	5270	0.0096
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	25583341	25662212	32	0.5023
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	25663310	72768498	28866	0.0182
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	72768916	72811148	46	-1.015
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	72811904	75177284	1443	0.0219
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	75184418	75186369	2	-1.4612
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	75187501	76050844	488	0.0268
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	76054763	76054854	2	1.1189
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	76059509	80218699	2720	0.0176
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	80220589	80220979	3	-1.2609
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	80222753	83816477	2445	0.0242
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	83825577	83825590	2	-1.7127
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	83828273	104102788	12962	0.0139
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	104103057	104159347	28	0.3929
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	104159384	104239689	16	-0.3284
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	104239986	104303403	13	0.4589
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	104303501	106019205	920	0.0293
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	106019236	106022375	16	0.5021
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	106024055	110224384	2658	0.014
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	110224427	110232974	15	-0.4008
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	110233037	110246281	23	-0.9416
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	110250235	112695965	1952	0.0255
MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F11_729664	1	112696087	112706062	27	0.4469
