Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	61735	740857	40	-0.5347
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	742293	16816090	8653	0.0102
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	16819633	16851514	9	-0.2632
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	16869363	16903726	8	-0.7515
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	16909609	16954295	17	-0.3131
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	16963269	16970456	18	-1.0623
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	17005734	17016177	17	0.031
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	17016259	17195155	47	-0.2913
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	17203497	17224970	10	0.0569
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	17225225	17257644	32	0.4774
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	17257943	72768916	34013	-6e-04
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	72768936	72811133	44	-0.6026
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	72811148	104163499	19963	-0.0039
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	104163787	104303403	27	-0.5765
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	104303501	106021219	916	0.0037
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	106021381	106022375	10	-0.8087
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	106024055	108766355	1951	0.0066
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	108769302	108817179	2	-3.0084
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	108828957	152555527	10687	-0.0104
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	152555706	152586238	31	-1.5985
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	152586278	152759678	173	0.0157
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	152761923	152767947	30	-0.4594
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	152767963	196788992	29403	-3e-04
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	196789001	196831324	56	-0.455
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	196835106	196905159	52	-0.8546
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	1	196909645	249224388	35686	0.0011
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	12784	13200409	9963	0.013
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	13202306	13279945	41	0.5494
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	13280249	34683290	13984	0.0054
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	34685280	34711474	18	-0.5015
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	34716770	34717468	8	0.2872
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	34717483	34737057	21	-0.5285
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	34737163	52754881	12970	-1e-04
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	52758753	52781542	33	-0.5065
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	52787949	86937687	21831	0.0076
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	86953070	86953854	2	1.9627
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	86970406	97857927	2099	-0.012
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	97865337	97886334	16	-0.6621
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	97898583	106880095	5584	0.0094
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	106880713	106887255	12	0.6312
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	106887408	208355178	60644	0.0029
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	208355338	208359336	15	-0.7995
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	208359476	222471013	9050	0.0022
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	222471460	222471516	2	1.3627
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	222472562	242486535	12783	0.0112
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	242486694	242508407	12	-0.5635
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	2	242513064	243089456	184	0.0329
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	3	60345	26581146	19913	-0.0037
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	3	26582145	26615949	36	-0.3185
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	3	26615970	46831837	13113	-0.0021
CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B10_1301420	3	46831961	46831976	2	-2.2758
