Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	61735	837085	73	0.205
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	850017	1693330	178	-0.4941
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	1695801	1879955	87	-0.1612
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	1888193	2846274	247	-0.4891
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	2846976	2974212	73	-0.24
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	2981841	3003488	9	-0.6343
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	3004357	3080940	22	-1.0438
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	3089486	3218329	64	-0.5772
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	3218610	3294229	53	-0.0724
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	3294422	3345145	34	-0.356
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	3346348	3777382	219	-0.0383
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	3781042	3802211	11	-0.6007
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	3803177	5898323	1630	-0.0173
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	5898729	5902050	5	-1.1459
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	5902086	7666987	1062	-0.0344
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	7678253	7684413	11	-0.6713
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	7684488	8202993	294	0.0036
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	8206130	8209321	6	0.5538
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	8217087	9330479	617	-0.0122
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	9331952	9422435	72	-0.3502
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	9422875	16018983	3577	-0.0237
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	16020502	16080171	23	-0.5046
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	16087824	16149915	50	-0.1126
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	16153497	16153925	6	-2.3932
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	16154201	16344827	87	0.0085
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	16345255	16374330	6	-1.8039
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	16379331	16886135	214	-0.0462
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	16886193	17045761	75	0.1727
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	17048196	17114712	23	0.8351
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	17177045	17245530	31	0.0222
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	17246009	17297698	45	-0.3187
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	17298496	17300173	4	-1.2046
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	17301672	17325955	9	-0.3063
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	17329637	22318183	3322	-0.0491
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	22319001	22338125	9	-1.5834
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	22342389	22473658	79	0.0223
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	22475816	22514655	30	-0.3432
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	22514835	25418699	1684	0.0032
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	25423401	25424322	2	-2.1392
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	25424889	30923061	2691	8e-04
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	30923171	30930479	10	-0.5131
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	30930578	31172474	210	2e-04
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	31175328	31251698	58	-0.4671
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	31262005	32900848	773	0.0102
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	32901240	32905807	3	-0.9147
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	32914644	35091674	1368	0.0109
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	35102654	35104491	20	-0.7977
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	35114268	37771295	1413	0.0105
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	37772592	37777759	9	-0.5756
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	37779966	37845240	40	0.0073
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	37848793	37921043	46	-0.3492
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	37923399	40129401	1198	0.0085
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	40132220	40154634	22	-0.422
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	40155188	41995561	1017	0.013
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	42001160	42001301	2	-1.2295
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	42001444	55224546	7406	0.0082
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	55225763	55274652	34	-0.3172
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	55274810	63466422	6235	0.0142
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	63466881	63467595	3	0.9207
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	63467913	85537890	14821	0.0155
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	85539127	85542620	8	-0.9884
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	85545680	94569756	5718	0.0135
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	94570183	94573519	5	-1.1716
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	94574780	110226487	9671	0.0061
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	110226743	110240178	23	0.6887
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	110242953	111366102	831	0.0075
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	111370372	111379410	25	0.4011
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	111379555	112690326	1101	0.012
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	112695965	112697241	23	-0.507
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	112697376	144842558	5248	0.0267
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	144849539	144868360	5	1.2829
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	144869084	148950175	1128	0.0449
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	148953996	149246415	129	0.5971
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	149248712	149769972	73	0.2265
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	149771890	152759678	1670	0.0296
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	152761923	152768700	37	-0.3518
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	152773905	153321810	441	0.0435
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	153321825	153365804	35	-0.2763
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	153368020	155189909	873	0.0165
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	155194124	155211667	8	-0.6568
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	155212267	158044419	1583	0.0142
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	158044482	158045749	4	-1.2899
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	158051210	158866573	680	0.0282
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	158868501	158869759	2	2.6564
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	158874818	169216937	7718	0.0134
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	169233974	169241766	7	0.8266
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	169242401	189648157	13463	0.0139
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	189648483	189648527	2	-2.9447
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	189652047	193155792	2339	0.0125
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	193156279	193156348	4	1.1928
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	193159723	196714873	2403	0.0121
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	196727850	196812530	95	0.3505
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	196815791	223630335	18153	0.0114
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	223630432	223630617	2	-1.6495
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	223630758	225652884	1261	-0.0055
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	225657275	225673293	17	-0.5053
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	225673516	226000308	194	0.0147
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	226000967	226071998	50	-0.2887
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	226074159	227425301	837	0.0064
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	227426072	227426406	3	-1.1798
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	227429178	248660184	15248	0.0217
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	248660552	248737447	20	-0.1248
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	248749194	248797213	33	-0.8135
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	1	248805339	249224388	145	-0.0104
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	12784	1473898	997	-0.0064
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	1474131	1916630	242	-0.2117
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	1917604	3147136	942	0.0224
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	3147861	3217346	85	-0.3255
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	3217908	3262876	38	-0.0296
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	3265710	3297006	30	-0.2934
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	3297493	4216420	660	0.0251
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	4216452	4219542	18	0.4279
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	4219899	7596271	2875	0.0334
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	7597554	7598862	4	-0.8236
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	7599655	14703694	5164	0.0184
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	14704949	14710092	12	-1.0748
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	14710364	17388272	1943	0.0092
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	17396067	17396229	2	-1.0295
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	17396548	18584209	936	0.0294
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	18590974	18591276	4	-1.2147
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	18591751	23863557	3651	0.0075
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	23863813	23865176	4	-1.3139
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	23869647	34708632	6521	0.0134
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	34708650	34737057	39	-0.3144
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	34737163	47192397	9348	0.0187
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	47196059	47316896	86	-0.2017
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	47320578	52754468	3619	0.0167
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	52754480	52781542	39	-2.8103
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	52787949	90118810	22964	0.0173
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	90118820	92057610	182	0.223
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	92085627	98118212	949	0.0231
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B07_667218	2	98140747	98162189	9	1.1349
