Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	61735	228729	19	0.4822
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	229075	10670891	5375	0.0358
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	10671420	10679721	3	-1.1111
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	10681806	11981530	674	0.0521
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	11991515	11993010	3	-0.9763
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	12003702	12841928	457	0.0196
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	12845863	12882985	27	-0.5557
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	12883096	13187370	18	0.0033
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	13214448	13376489	8	-0.6293
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	13377047	17190862	2250	0.0527
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	17195155	17260591	52	-0.6399
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	17260618	25583341	5283	0.0438
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	25593128	25663344	33	-0.3947
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	25673154	104159384	48998	0.0976
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	104163499	104303403	28	-1.0008
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	104303501	110232974	3608	0.1247
TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_C07_1513320	1	110233037	110244998	18	-1.1539
