Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	61735	12892508	6548	0.0178
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	12909977	12927107	7	-0.638
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	12927856	16831863	2157	0.0198
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	16844932	17005978	49	0.4421
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	17011450	17012785	13	-0.2124
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	17016177	17282425	111	0.4275
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	17283075	22151649	3254	0.009
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	22152194	22160257	3	-1.2206
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	22164164	25583341	2008	0.0058
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	25593128	25662005	30	-1.2267
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	25662212	50808204	13776	0.0124
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	50808295	50809974	4	-0.8882
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	50810292	55090200	2246	0.0131
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	55093291	55094389	2	-2.1925
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	55096450	104163787	32922	0.0145
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	104178038	104303403	26	-0.9868
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	104303501	105039720	412	0.0229
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	105045884	105051014	4	-0.7925
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	105054917	110227515	3186	0.0148
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	110232974	110240178	17	-0.9298
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	110242953	152555706	10015	0.0162
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	152555767	152586540	32	-0.8816
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	152586576	152761923	174	0.0425
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	152761939	152773905	37	0.4593
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	152776755	158959575	3682	0.0181
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	158962039	158962796	2	-1.469
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	158966864	169216937	7647	0.0154
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	169233974	169238745	6	-4.152
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	169241766	174796405	3516	0.0087
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	174796556	174801840	16	-0.5901
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	174801854	189648157	9907	0.0059
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	189648483	189648527	2	-1.5718
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	189652047	196732086	4738	0.021
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	196738623	196801655	83	0.321
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	196801784	230126296	22105	0.0104
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	230126447	230126862	2	-1.1647
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	230127220	230821484	580	0.0097
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	230821861	230821996	2	1.2395
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	1	230822903	249224388	13247	0.0069
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A10_747906	2	12784	14706056	11042	0.0129
