Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	61735	86341	15	0.6941
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	98588	2179285	399	-0.1114
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	2184855	2194648	8	-1.5724
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	2205581	17203497	8405	-0.1036
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	17209603	17262247	59	0.2905
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	17276241	22319001	3346	-0.0994
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	22320515	22330539	6	-2.875
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	22337243	25593128	1918	-0.0922
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	25595881	25662212	30	0.2914
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	25663310	31408056	2921	-0.0955
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	31408109	31503875	38	-1.0523
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	31505602	32004150	261	-0.0878
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	32006435	33106844	456	0.3417
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	33107556	33206025	51	-0.1021
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	33209393	41167534	4524	0.2943
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	41169405	41186761	11	-0.3051
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	41188522	48065338	3904	0.2189
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	48071156	48071177	2	-2.5234
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	48071348	55723441	4325	0.2092
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	55724023	55724299	6	-2.1955
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	55729368	61014586	4129	0.2162
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	61018292	61018453	2	1.7809
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	61018796	62114181	829	0.3597
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	62114951	62118187	2	-0.9022
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	62119809	68851603	4976	0.3498
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	68851985	68854483	2	-1.2079
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	68861860	72756174	2387	0.2567
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	72759212	72768498	8	0.67
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	72768916	72811148	44	2.9842
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	72811904	104155643	20063	0.2316
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	104155731	104159384	8	-0.4926
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	104163499	110226743	3628	0.2438
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	110226970	110246281	28	-0.2941
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	110250235	111376220	833	0.2208
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	111377368	111388226	39	-0.5243
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	111392067	112690326	1077	0.2317
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	112695965	112697241	23	0.8766
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	112697376	144081043	5230	0.2281
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	144471986	144472001	2	2.7797
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	144527147	152757690	3014	0.2268
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	152759678	152768700	38	-0.301
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	152773905	196714873	29528	0.1747
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	196727850	196802002	92	-0.4527
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	196802072	199111363	1381	0.102
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	199111426	199113840	7	-1.4622
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	199114238	206173925	4656	0.0225
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	206174681	206183489	4	-1.201
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	206185294	210604746	3123	-0.005
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	210604858	210612528	23	-0.9224
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	210615292	237277253	18278	0
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	237277465	237277482	2	-1.8933
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	237278208	238750109	1223	-0.0073
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	238751620	238751937	5	-0.8997
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	238752396	240391740	1299	-0.0206
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	240394015	240394124	5	-1.8928
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	240394139	242943218	2007	-0.0313
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	242943754	242945638	2	-1.8718
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	242946023	247944368	3290	-0.0462
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	247946383	247949803	3	-1.3881
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	247951739	248163188	158	-0.0738
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	248165702	248171576	2	-3.2595
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	248173453	248687845	280	-0.0074
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	248688160	248797213	46	-0.7684
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	1	248805339	249224388	145	-0.0452
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	2	12784	4913643	3610	0.2543
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	2	4913700	4914111	6	-0.7489
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B09_1244736	2	4915059	25586701	14837	0.3178
